dock_id,dock_name,hour,avail_bikes,avail_docks,tot_docks,avail_bikes_proportion,avail_docks_proportion
72,W 52 St & 11 Ave,0,16.621212121212121,38.378787878787882,55.0,0.30220385674931127,0.69779614325068862
72,W 52 St & 11 Ave,1,16.833333333333336,38.166666666666657,55.0,0.30606060606060603,0.69393939393939386
72,W 52 St & 11 Ave,2,16.65217391304348,38.347826086956516,55.0,0.30276679841897236,0.69723320158102775
72,W 52 St & 11 Ave,3,16.528571428571432,38.471428571428568,55.0,0.30051948051948046,0.69948051948051948
72,W 52 St & 11 Ave,4,16.351351351351354,38.648648648648638,55.0,0.2972972972972972,0.70270270270270274
72,W 52 St & 11 Ave,5,15.835820895522385,39.164179104477604,55.0,0.28792401628222525,0.71207598371777481
72,W 52 St & 11 Ave,6,17.36065573770491,37.639344262295062,55.0,0.31564828614008933,0.68435171385991067
72,W 52 St & 11 Ave,7,17.96052631578948,37.039473684210527,55.0,0.32655502392344504,0.67344497607655485
72,W 52 St & 11 Ave,8,14.895522388059703,40.104477611940311,55.0,0.27082767978290362,0.7291723202170961
72,W 52 St & 11 Ave,9,11.803030303030301,43.196969696969681,55.0,0.21460055096418731,0.78539944903581249
72,W 52 St & 11 Ave,10,11.573770491803279,43.42622950819672,55.0,0.21043219076005956,0.78956780923994052
72,W 52 St & 11 Ave,11,12.630136986301373,42.36986301369862,55.0,0.22963885429638858,0.77036114570361158
72,W 52 St & 11 Ave,12,11.444444444444446,43.555555555555557,55.0,0.20808080808080803,0.79191919191919191
72,W 52 St & 11 Ave,13,11.905405405405407,43.094594594594575,55.0,0.21646191646191648,0.78353808353808341
72,W 52 St & 11 Ave,14,12.029411764705882,42.970588235294116,55.0,0.21871657754010684,0.781283422459893
72,W 52 St & 11 Ave,15,11.24285714285714,43.757142857142846,55.0,0.20441558441558438,0.79558441558441562
72,W 52 St & 11 Ave,16,13.352112676056338,41.647887323943685,55.0,0.24276568501920612,0.75723431498079419
72,W 52 St & 11 Ave,17,12.070422535211266,42.929577464788721,55.0,0.2194622279129321,0.78053777208706776
72,W 52 St & 11 Ave,18,11.78125,43.21875,55.0,0.21420454545454543,0.78579545454545485
72,W 52 St & 11 Ave,19,11.555555555555559,43.444444444444443,55.0,0.21010101010101007,0.78989898989899
72,W 52 St & 11 Ave,20,12.662162162162165,42.337837837837846,55.0,0.23022113022113025,0.76977886977886978
72,W 52 St & 11 Ave,21,13.298507462686571,41.701492537313413,55.0,0.24179104477611937,0.75820895522388088
72,W 52 St & 11 Ave,22,15.407894736842106,39.592105263157904,55.0,0.28014354066985653,0.71985645933014353
72,W 52 St & 11 Ave,23,16.361111111111114,38.638888888888879,55.0,0.29747474747474745,0.70252525252525244
79,Franklin St & W Broadway,3,9.0,26.0,35.0,0.25714285714285712,0.74285714285714288
79,Franklin St & W Broadway,4,9.0,26.0,35.0,0.25714285714285712,0.74285714285714288
79,Franklin St & W Broadway,5,9.0,26.0,35.0,0.25714285714285712,0.74285714285714288
79,Franklin St & W Broadway,6,8.0,27.0,35.0,0.22857142857142856,0.77142857142857146
79,Franklin St & W Broadway,7,10.0,25.0,35.0,0.2857142857142857,0.7142857142857143
79,Franklin St & W Broadway,8,14.0,21.0,35.0,0.4,0.6
79,Franklin St & W Broadway,9,17.0,18.0,35.0,0.48571428571428571,0.51428571428571423
79,Franklin St & W Broadway,10,22.0,13.0,35.0,0.62857142857142856,0.37142857142857144
82,St James Pl & Pearl St,0,10.5,17.5,28.0,0.375,0.62500000000000011
82,St James Pl & Pearl St,1,9.8461538461538467,18.153846153846153,28.0,0.35164835164835168,0.64835164835164849
82,St James Pl & Pearl St,2,10.5,17.5,28.0,0.375,0.625
82,St James Pl & Pearl St,3,10.5,17.5,28.0,0.37500000000000006,0.625
82,St James Pl & Pearl St,4,11.538461538461538,16.46153846153846,28.0,0.41208791208791212,0.58791208791208782
82,St James Pl & Pearl St,5,11.315789473684211,16.684210526315788,28.0,0.40413533834586468,0.59586466165413543
82,St James Pl & Pearl St,6,12.4,15.6,28.0,0.44285714285714289,0.55714285714285727
82,St James Pl & Pearl St,7,12.77777777777778,15.222222222222223,28.0,0.45634920634920634,0.54365079365079372
82,St James Pl & Pearl St,8,11.647058823529409,16.352941176470594,28.0,0.41596638655462187,0.58403361344537819
82,St James Pl & Pearl St,9,8.8421052631578956,19.15789473684211,28.0,0.31578947368421051,0.68421052631578938
82,St James Pl & Pearl St,10,8.5,19.5,28.0,0.3035714285714286,0.6964285714285714
82,St James Pl & Pearl St,11,10.749999999999998,17.249999999999996,28.0,0.3839285714285714,0.6160714285714286
82,St James Pl & Pearl St,12,10.416666666666666,17.583333333333332,28.0,0.37202380952380953,0.62797619047619058
82,St James Pl & Pearl St,13,8.8333333333333321,19.166666666666664,28.0,0.31547619047619052,0.68452380952380953
82,St James Pl & Pearl St,14,13.090909090909092,14.909090909090908,28.0,0.46753246753246758,0.53246753246753253
82,St James Pl & Pearl St,15,11.384615384615385,16.615384615384617,28.0,0.40659340659340659,0.59340659340659352
82,St James Pl & Pearl St,16,11.333333333333334,16.666666666666668,28.0,0.40476190476190477,0.59523809523809523
82,St James Pl & Pearl St,17,11.583333333333332,16.416666666666664,28.0,0.41369047619047616,0.58630952380952372
82,St James Pl & Pearl St,18,10.0,18.0,28.0,0.35714285714285715,0.6428571428571429
82,St James Pl & Pearl St,19,9.5833333333333339,18.416666666666668,28.0,0.34226190476190477,0.65773809523809512
82,St James Pl & Pearl St,20,10.909090909090908,17.09090909090909,28.0,0.38961038961038952,0.61038961038961037
