dock_id,dock_name,hour,avail_bikes,avail_docks,tot_docks,avail_bikes_proportion,avail_docks_proportion
3405,5 St & 6 Ave,11,8.2086614173228316,14.791338582677165,23.0,0.356898322492297,0.6431016775077032
3405,5 St & 6 Ave,12,8.3492063492063462,14.650793650793638,23.0,0.363008971704624,0.63699102829537624
3405,5 St & 6 Ave,13,8.1570881226053622,14.842911877394643,23.0,0.354656005330668,0.64534399466933212
3405,5 St & 6 Ave,14,7.9958847736625476,15.00411522633744,23.0,0.347647164072285,0.65235283592771487
3405,5 St & 6 Ave,15,7.9600000000000026,15.040000000000001,23.0,0.34608695652173921,0.653913043478261
3405,5 St & 6 Ave,16,8.5918367346938744,14.408163265306118,23.0,0.3735581188997335,0.626441881100266
3405,5 St & 6 Ave,17,8.2740740740740719,14.725925925925914,23.0,0.35974235104669883,0.64025764895330117
3405,5 St & 6 Ave,18,8.57201646090535,14.427983539094649,23.0,0.37269636786545013,0.62730363213454965
3405,5 St & 6 Ave,19,8.61176470588235,14.388235294117646,23.0,0.37442455242966749,0.62557544757033245
3405,5 St & 6 Ave,20,9.07509881422925,13.924901185770766,23.0,0.39456951366214138,0.60543048633785879
3405,5 St & 6 Ave,21,9.2569169960474351,13.743083003952574,23.0,0.402474652002062,0.59752534799793755
3405,5 St & 6 Ave,22,8.9335937499999964,14.066406250000016,23.0,0.38841711956521729,0.61158288043478271
3405,5 St & 6 Ave,23,9.5203252032520336,13.479674796747965,23.0,0.41392718275008833,0.58607281724991223
3407,Union St & Nevins St,0,16.796680497925308,6.20331950207469,23.0,0.730290456431535,0.26970954356846455
3407,Union St & Nevins St,1,16.014925373134329,6.9850746268656758,23.0,0.69630110317975336,0.30369889682024659
3407,Union St & Nevins St,2,16.027343749999989,6.9726562500000053,23.0,0.69684103260869557,0.30315896739130427
3407,Union St & Nevins St,3,16.130081300813007,6.8699186991869876,23.0,0.701307882644044,0.2986921173559563
3407,Union St & Nevins St,4,15.604838709677422,7.3951612903225712,23.0,0.67847124824684468,0.32152875175315554
3407,Union St & Nevins St,5,15.882113821138212,7.1178861788617862,23.0,0.69052668787557514,0.30947331212442597
3407,Union St & Nevins St,6,15.653679653679655,7.346320346320347,23.0,0.68059476755128878,0.31940523244871072
3407,Union St & Nevins St,7,15.752173913043473,7.2478260869565236,23.0,0.68487712665406464,0.31512287334593597
3407,Union St & Nevins St,8,15.929752066115704,7.0702479338842981,23.0,0.69259791591807429,0.30740208408192621
3407,Union St & Nevins St,9,16.313304721030047,6.6866952789699479,23.0,0.70927411830565379,0.29072588169434604
3407,Union St & Nevins St,10,16.982456140350873,6.0175438596491233,23.0,0.73836765827612527,0.26163234172387489
3407,Union St & Nevins St,11,17.456896551724135,5.5431034482758665,23.0,0.75899550224887569,0.24100449775112445
3407,Union St & Nevins St,12,17.978448275862075,5.0215517241379333,23.0,0.781671664167916,0.21832833583208394
3407,Union St & Nevins St,13,18.974789915966372,4.0252100840336036,23.0,0.82499086591158266,0.175009134088418
3407,Union St & Nevins St,14,19.573991031390136,3.4260089686098665,23.0,0.85104308832131015,0.14895691167868977
3407,Union St & Nevins St,15,19.574561403508785,3.42543859649123,23.0,0.85106788710907688,0.14893211289092287
3407,Union St & Nevins St,16,19.400000000000006,3.5999999999999983,23.0,0.84347826086956523,0.15652173913043482
3407,Union St & Nevins St,17,18.4672131147541,4.5327868852458995,23.0,0.80292230933713515,0.1970776906628654
3407,Union St & Nevins St,18,18.073059360730589,4.92694063926941,23.0,0.78578518959698207,0.21421481040301746
3407,Union St & Nevins St,19,17.344680851063817,5.65531914893617,23.0,0.75411655874190553,0.24588344125809439
3407,Union St & Nevins St,20,17.405172413793114,5.5948275862068986,23.0,0.75674662668665715,0.24325337331334304
3407,Union St & Nevins St,21,17.271551724137915,5.7284482758620712,23.0,0.750937031484258,0.24906296851574219
3407,Union St & Nevins St,22,16.78448275862069,6.2155172413793069,23.0,0.72976011994003009,0.27023988005997007
3407,Union St & Nevins St,23,16.2286995515695,6.7713004484304982,23.0,0.705595632676935,0.29440436732306496
3408,Congress St & Clinton St,0,16.706713780918726,10.293286219081258,27.0,0.61876717707106366,0.38123282292893584
3408,Congress St & Clinton St,1,16.680645161290315,10.319354838709678,27.0,0.61780167264038233,0.38219832735961767
3408,Congress St & Clinton St,2,16.844067796610165,10.155932203389831,27.0,0.6238543628374138,0.37614563716258642
3408,Congress St & Clinton St,3,16.924731182795711,10.075268817204295,27.0,0.62684189565909987,0.37315810434090013
3408,Congress St & Clinton St,4,16.742957746478876,10.257042253521131,27.0,0.62010954616588454,0.37989045383411585
3408,Congress St & Clinton St,5,16.53658536585365,10.463414634146343,27.0,0.61246612466124639,0.38753387533875305
3408,Congress St & Clinton St,6,16.458646616541355,10.541353383458649,27.0,0.60957950431634655,0.39042049568365339
3408,Congress St & Clinton St,7,16.071428571428569,10.928571428571425,27.0,0.59523809523809557,0.40476190476190455
3408,Congress St & Clinton St,8,15.970909090909085,11.029090909090915,27.0,0.59151515151515144,0.40848484848484856
3408,Congress St & Clinton St,9,15.535055350553506,11.4649446494465,27.0,0.57537242039087066,0.42462757960912934
