dock_id,date,hour,avail_bikes,avail_docks,tot_docks,avail_bikes_proportion,avail_docks_proportion,latitude,longitude
3056,19-04-30,6.0,3.0,20.0,23.0,0.13043478260869565,0.86956521739130432,40.690725526837682,-73.9513346114241
3128,19-04-30,6.0,10.0,13.0,23.0,0.43478260869565216,0.56521739130434778,40.75052534,-73.94594845
3342,19-04-30,6.0,22.0,1.0,23.0,0.95652173913043481,0.043478260869565216,40.6777748,-74.0094613
354,19-04-30,6.0,14.5,8.5,23.0,0.63043478260869568,0.36956521739130432,40.693631436644587,-73.9622355685286
216,19-04-30,6.0,8.0,15.0,23.0,0.34782608695652173,0.65217391304347827,40.70037867,-73.99548059
3497,19-04-30,6.0,7.5,15.5,23.0,0.32608695652173914,0.67391304347826086,40.7949879,-73.9333349
3361,19-04-30,6.0,15.5,7.5,23.0,0.67391304347826086,0.32608695652173914,40.6740886,-73.9787282
313,19-04-30,6.0,16.0,7.0,23.0,0.69565217391304346,0.30434782608695654,40.69610226,-73.96751037
3105,19-04-30,6.0,22.0,2.0,24.0,0.91666666666666663,0.083333333333333329,40.724055,-73.955736
3400,19-04-30,6.0,9.5,14.5,24.0,0.39583333333333337,0.60416666666666674,40.796153535804415,-73.9478214152551
437,19-04-30,6.0,6.0,18.0,24.0,0.25,0.75,40.680983385449778,-73.950047975944969
3310,19-04-30,6.0,7.5,16.5,24.0,0.3125,0.6875,40.663779,-73.98396846
414,19-04-30,6.0,5.0,19.0,24.0,0.20833333333333334,0.79166666666666663,40.70281858,-73.98765762
143,19-04-30,6.0,10.5,13.5,24.0,0.4375,0.5625,40.692395010543351,-73.993379056985049
3491,19-04-30,6.0,10.5,13.5,24.0,0.4375,0.5625,40.79747,-73.93504
3072,19-04-30,6.0,11.0,13.0,24.0,0.45833333333333331,0.54166666666666663,40.705833430710854,-73.946445799340452
3390,19-04-30,6.0,11.5,12.5,24.0,0.47916666666666663,0.52083333333333326,40.79329668,-73.9432083
3454,19-04-30,6.0,9.0,15.0,24.0,0.375,0.625,40.7103685423523,-73.947059512138367
3317,19-04-30,6.0,17.0,7.0,24.0,0.70833333333333337,0.29166666666666669,40.6686273,-73.98700053
3399,19-04-30,6.0,21.5,2.5,24.0,0.89583333333333326,0.10416666666666666,40.672602981501257,-73.989830017089844
3293,19-04-30,6.0,5.5,18.5,24.0,0.22916666666666669,0.77083333333333326,40.7921,-73.9739
3330,19-04-30,6.0,18.0,1.0,19.0,0.94736842105263153,0.052631578947368418,40.6725058,-74.00494695
421,19-04-30,6.0,15.0,4.0,19.0,0.78947368421052633,0.21052631578947367,40.69573398,-73.97129668
3512,19-04-30,6.0,13.0,6.0,19.0,0.68421052631578949,0.31578947368421051,40.7747175,-73.9337894
3392,19-04-30,6.0,10.0,9.0,19.0,0.52631578947368418,0.47368421052631576,40.6812117,-74.00860912
289,19-04-30,6.0,4.0,15.0,19.0,0.21052631578947367,0.78947368421052633,40.6845683,-73.95881081
144,19-04-30,6.0,13.0,6.0,19.0,0.68421052631578949,0.31578947368421051,40.69839895,-73.98068914
3332,19-04-30,6.0,18.0,1.0,19.0,0.94736842105263153,0.052631578947368418,40.681990442707033,-73.990790247917175
3395,19-04-30,6.0,7.0,12.0,19.0,0.36842105263157893,0.631578947368421,40.6763744,-74.00324957
120,19-04-30,6.0,7.0,12.0,19.0,0.36842105263157893,0.631578947368421,40.68676793,-73.95928168
3348,19-04-30,6.0,10.0,9.0,19.0,0.52631578947368418,0.47368421052631576,40.677236,-74.015665
3515,19-04-30,6.0,9.0,10.0,19.0,0.47368421052631576,0.52631578947368418,40.774591,-73.918544
373,19-04-30,6.0,14.0,5.0,19.0,0.73684210526315785,0.26315789473684209,40.69331716,-73.95381995
3071,19-04-30,6.0,6.0,13.0,19.0,0.31578947368421051,0.68421052631578949,40.70538077,-73.94976519
3066,19-04-30,6.0,3.5,15.5,19.0,0.18421052631578946,0.81578947368421051,40.69957608,-73.94708417
119,19-04-30,6.0,14.0,5.0,19.0,0.73684210526315785,0.26315789473684209,40.69608941,-73.97803415
275,19-04-30,6.0,12.0,7.0,19.0,0.631578947368421,0.36842105263157893,40.68650065,-73.96563307
3059,19-04-30,6.0,7.0,12.0,19.0,0.36842105263157893,0.631578947368421,40.6933982,-73.939877
3393,19-04-30,6.0,14.0,5.0,19.0,0.73684210526315785,0.26315789473684209,40.6794327,-74.00785041
3522,19-04-30,6.0,7.0,12.0,19.0,0.36842105263157893,0.631578947368421,40.7701477,-73.9120938
3048,19-04-30,6.0,6.5,12.5,19.0,0.34210526315789469,0.65789473684210531,40.68402,-73.94977
3530,19-04-30,6.0,0.0,19.0,19.0,0.0,1.0,40.7787185,-73.9145645
3046,19-04-30,6.0,6.5,12.5,19.0,0.34210526315789469,0.65789473684210531,40.682601,-73.938037
3060,19-04-30,6.0,8.0,11.0,19.0,0.42105263157894735,0.57894736842105265,40.69425403,-73.94626915
