bike_id,Manhattan,Brooklyn,Queens
17720,7232146,1277122,69138
33314,3998335,730770,179979
32650,4116914,1002494,163117
31427,4099813,817098,139786
35192,5748609,959799,108459
32019,2415064,609879,67452
31111,3592698,1105763,157369
39697,2323660,699408,70545
21181,4250405,774386,86341
27824,3986255,1849507,139809
19612,8453384,880569,122586
21710,4542205,1019705,86712
31660,3301770,615114,160862
48055,472771,471760,10590
30333,2995015,1091279,137176
24033,1861943,305733,13933
44642,866139,564205,67513
30103,4345231,1109731,140812
27669,3990203,835089,129520
30202,4894179,2150913,103410
28344,4248202,668812,21889
16068,7884241,1076646,143355
28030,6333039,1355929,169968
30692,4694143,1427721,130693
31191,3727111,814377,87226
19493,5618350,1608256,99241
21297,6924313,1032359,175913
15508,4450633,786071,20587
26631,3448362,763571,75195
30785,3349913,1114097,75226
43062,1904885,540118,75762
19155,6528040,801824,67949
48639,174337,43685,4877
18871,5766370,1212588,106662
29974,3410710,1012668,1897712
18394,8200129,1550349,76368
40502,1818511,518407,76901
34086,4305065,927751,142529
26555,3403896,733635,95932
45160,717742,279266,17586
21087,5874347,1781286,91677
38536,1126277,239718,11892
35074,4411853,711353,62327
38067,1904397,519238,78806
33228,3829407,743641,96929
17026,7811575,1357439,214627
41678,4816799,440679,68938
31466,4095034,913730,79933
33070,2999586,1699932,129971
29430,4254925,1098969,119838
28725,3643079,649662,67518
32476,3562446,584908,78204
19370,6273713,3248287,203813
47191,256032,194188,58422
28952,5878182,765925,82317
21514,6682077,1796084,92179
38472,2212563,545807,130474
35139,2847587,1013280,177477
19917,7021723,1635910,112854
35058,3343751,761043,121492
15826,9486554,1148101,61292
39676,1419471,532490,77493
17498,5275289,853272,113868
15324,6573030,1516158,92234
17562,9711394,1749877,58694
31350,2106072,411544,27486
25773,3581221,718745,123894
18462,6017422,856477,128413
16747,7407662,1430393,77371
26785,3801467,2571625,113647
20210,6426829,1078378,176209
44546,864501,253782,49940
25559,4398806,925500,84691
29720,2188225,1035968,72454
40775,1643367,563560,73125
37767,1327876,462385,80280
46594,765872,223002,35202
20340,8959983,1504300,183587
40372,1806805,680911,107931
41666,1382312,806520,52228
26003,3131576,551429,119605
30182,3606704,1241343,105720
25150,4037294,840071,182513
49103,294279,136885,13105
46227,523332,165851,48845
28806,3515504,728709,141603
20782,8608713,951551,54029
29194,4882928,593033,57349
27463,4787326,720489,51090
26693,2052464,329197,23112
24990,2678122,953626,37493
18840,7365070,1891209,72040
44621,448159,210905,19416
48134,441569,145889,41664
27313,3323684,724700,133245
47620,762509,254241,55597
38745,2233953,573534,62095
39001,2828521,2159555,73459
48477,284417,104752,12209
38810,1205228,317082,52990
17157,6225992,1008066,136812
33202,4760743,546883,60298
28261,3204023,2905652,141776
17153,6732730,2237975,77857
42119,750403,250829,17496
38639,1992228,415067,108533
39584,2065619,600867,82608
38691,2390094,688973,80003
21688,4361738,1220670,257566
32734,3106068,2728811,89024
19043,10665229,1014454,157261
21290,6069743,1342082,106494
22066,2836706,551612,5484
30978,2640741,1593463,54984
28544,3574333,1527178,104626
42198,575622,221733,71594
41300,2429923,473747,64174
35009,2927225,664070,54123
25462,5773890,1027223,183846
30662,4255866,793873,117340
18215,6299707,1149799,102711
25708,5271004,1107068,86648
26813,3787194,662123,48821
46038,583823,159993,54554
38754,2364430,598609,154997
24950,5993876,1076610,92214
39035,2334807,542285,56447
42866,1452336,387702,90878
29423,3537605,2180374,117842
30431,3383989,929128,160738
26521,3703065,3384439,83645
28283,4000356,1197954,77065
18218,6528968,1256738,89438
32027,3471975,1006162,86482
33904,3711739,985912,1137560
28582,4822420,1315023,125501
32736,2738111,674933,155925
43179,1107494,385232,87268
27836,3209090,725245,92145
31548,3473849,730400,88567
36629,2593057,535979,124493
36666,1337607,627538,48696
34736,1343813,476303,66879
16919,5894061,2522046,92895
28304,3726504,884846,107665
42766,1467508,529275,64434
36389,1104113,372838,66718
39708,1454017,208474,22317
26069,4862731,965502,79216
34351,5240318,1346810,166635
39625,2019271,619789,105837
37785,2012948,1561997,68519
25435,4011466,780519,54528
45520,554651,67606,25185
38761,3623588,504675,42814
21264,6357489,2406603,141819
28333,3924567,821905,137639
45432,521425,79267,27088
32520,3630609,830859,95996
19949,6376278,2178462,65535
18352,5750139,1426533,57441
32057,4608815,1265111,215060
38662,2036993,528653,114931
14743,6019513,1232487,80024
16567,7779706,1194628,114667
43409,1209147,343235,77217
28814,3509433,806532,107248
29112,5136986,1478401,84584
44837,811514,164874,58790
16395,5303799,905954,70041
39099,2094984,1029908,108790
17453,7120526,1113727,3881427
33958,4163469,1072273,216402
25159,4519598,841301,97206
37664,2280096,1897080,133940
32032,3261505,476535,35283
28958,3437317,872884,121147
25323,5206028,1505983,102511
19015,6201420,1181217,129672
42883,1509215,434482,70661
18459,6766973,1605454,118254
31118,1270150,322985,33581
30024,4114784,804248,142843
19666,5770037,1297015,88660
47826,470726,215680,28524
46354,577016,166142,25947
25176,3833504,930155,90181
37836,1494813,432363,82302
30204,4461869,869309,140160
32328,3074690,781102,80557
18915,7073362,1160235,95682
28008,3405564,668198,62160
26036,4658433,845781,197053
33120,3460827,657159,122999
48900,115675,20323,13719
27272,3884066,590090,106617
19717,6090431,1511825,61983
26609,3357173,861112,61006
41377,1989592,465350,58300
44921,638023,176582,37365
25449,4346212,1739593,70214
31453,3604980,923862,121964
20955,6218480,848617,86124
43864,1226542,324416,53038
48032,469641,185414,21851
47957,592772,149931,23081
40061,1870702,648836,111744
28606,3937695,2071448,137449
41016,1640732,617576,89342
44888,837132,171520,16570
36908,1640419,280026,55899
16355,7309467,9644277,91734
43927,1356496,254943,48386
16299,5560239,731303,23832
40133,1824868,464995,123645
25652,4960480,838631,69514
37311,3278905,908341,162279
36336,1181439,586941,62522
39468,1943418,257119,46103
41042,1687458,814925,76517
38802,2437116,584371,172874
30184,3379924,766045,96191
21417,6025705,1093811,104731
39327,2561421,758308,83916
34286,3860826,2734878,123663
37036,847177,288470,50166
46660,589654,125555,14112
15238,7191368,3117403,60224
36400,1746647,438123,121285
48048,630443,184447,38008
27394,2084292,515821,50265
17676,6738530,3170710,194750
46451,709696,157233,36704
35381,3169225,719847,92965
45831,608187,219250,53656
16998,7614879,2099418,97434
39366,2624168,594768,56933
39589,828913,155270,9068
38057,1646136,486494,28736
15652,6429058,1792355,130434
18368,6095809,2006660,1779648
31216,3579697,834496,179078
30749,3723351,1135829,123787
36214,1156623,375490,87100
46730,548445,172344,17077
19560,6045725,1281244,134606
25425,4661785,1784653,111445
25264,4199206,1126002,112317
39181,2534581,655182,166987
29902,4046592,1047556,149717
43802,1287635,397669,23745
20262,9859418,1123484,59876
40483,1702858,554430,44000
49720,204920,164922,7357
14994,7013170,1475981,78850
42208,628350,117167,42673
40591,1889202,798708,85459
37684,1184055,342701,74815
26536,3100010,1010293,61460
37362,1232981,502095,66288
38751,2371654,460966,69217
39322,2354768,483251,160737
25653,4607313,1069306,155400
20041,7338657,1168290,156584
45498,593226,206004,10560
41176,1765235,615655,65465
31553,4458104,1830212,157867
19490,6330939,1707426,92743
28367,3673537,935671,88584
37796,1353853,405080,53954
14572,6474018,1117210,26541
31017,3131015,2120387,128724
21600,5730128,763424,46071
47573,744294,208103,65210
32917,3454159,1152347,108701
39868,2129091,974531,119594
34292,4309902,819569,116374
31079,3485177,889875,94452
38738,2858591,692927,130740
32237,2789836,1049471,73424
37528,545544,101774,25547
44986,807435,184109,40493
44034,998094,394949,50346
34669,1202857,184385,52461
41456,2009828,490056,124660
27789,4017047,7985563,72897
17261,7047727,1497789,133836
30396,3928509,889351,143886
42385,2328739,232175,36923
40335,1903490,488084,55833
36004,1687200,415867,82432
43998,1045514,369458,78658
37703,2207604,808309,168565
34192,4510232,910356,179752
20859,5379632,1256435,108143
19363,6789673,1018488,89036
17037,6471351,1073477,70714
16114,6558512,1234095,158704
16284,6785599,1249832,105755
19759,8012827,1158958,56065
19589,7543513,1402016,162800
15428,6887899,1323404,73061
18289,5976351,3344529,33186
17226,6537593,1379837,96936
16860,6964432,2811266,48719
17572,6305327,2426390,84846
16638,8505657,1191982,254342
16987,9294027,1127100,60717
17689,4020052,628765,135200
15946,7044243,1345368,129282
20052,6727297,1161550,71970
18217,8616774,1122780,128475
19254,6852700,1266457,228103
14565,4761663,975792,35418
18980,3255056,399861,11987
20523,7070384,1371690,222946
19455,7140437,855335,265256
18808,6866676,1641609,55525
19333,5699507,1534006,121561
16346,7185623,1092926,55663
17391,7511778,1145749,869859
17511,7221673,2449607,70264
18342,6494183,2473332,97754
17420,6517259,1114198,71248
15555,7358893,3311574,94768
15671,6047129,1534606,74330
18625,7096841,1294138,77881
20098,6390790,1130776,61947
19483,6177429,1047072,42103
19112,7444659,1729315,88267
17948,6311402,964253,80604
18616,5198207,585196,45173
15829,6526153,1755401,121768
16009,6858669,968335,99842
17905,7292236,1347608,102888
16165,6064876,5151105,280028
17429,6974595,1573185,70051
14886,7736581,1250730,197183
15016,6745310,1283273,122622
15899,6803653,1411525,96554
16568,6204108,970754,67194
17047,6349883,1462709,91375
20149,6715485,1156901,25763
18764,6416085,955853,48497
21118,5960616,1128433,103646
17653,7833999,901110,137762
16660,5827412,1152881,90138
19881,6872001,1211144,59205
21198,5863743,1915623,200410
20077,7809222,962466,58698
20615,4433789,670856,25268
17568,6837074,1320314,220098
18451,6396504,1126333,67040
15138,7673728,1159503,48746
18063,6869362,3795582,60398
17953,7768726,1765212,137545
20764,6398731,1041477,96577
19408,9550427,1010162,108348
20763,6600852,1412343,142144
16479,5584674,926700,340422
15258,7450115,1138042,71518
17828,7918649,865663,25659
15091,6724449,4228665,78132
16056,6737716,1187523,63754
15217,2254692,418028,5684
15490,6406730,831992,96934
19242,7916137,2548499,87105
15985,5828543,775979,53737
18474,6703969,1499952,99117
17445,6371239,1043314,37749
19385,7280102,1828627,103950
20297,2405768,201280,1664
18922,6683577,1232597,48234
16728,7720620,897538,68180
17349,6647198,1156253,57783
15849,6458875,1119813,37448
14996,6130489,860044,115611
20574,2790403,619759,4640
18375,8206910,1437448,86467
19051,5331196,1261974,213196
17409,7850675,1176193,91674
14915,6179764,2176645,77197
20211,7357002,1168260,330489
14728,6929653,924046,61703
16519,7115254,1078270,256417
15045,6841517,1600756,235959
18503,6189990,1116916,125085
16933,4024706,370851,2109
16250,7166315,930771,68159
18433,7914288,1712679,78137
16387,4632617,1675316,58759
18093,7005518,1147457,434508
18789,7756922,987525,123854
18435,2966291,467568,24450
18824,6871843,1674264,546910
20365,6440322,1485790,76318
15819,5785818,1116089,166126
19782,7358321,1577497,155455
20642,7229688,1389424,46934
15550,5909693,1064320,32427
19643,6641637,1007440,62784
19684,4808063,562971,102272
20924,1943133,200619,5822
21577,10441101,1001926,166176
19172,7831495,1141880,64478
14628,6265737,1071593,43021
19434,6184465,906833,83337
20529,5178052,602792,89944
15586,5323824,1184121,116551
21209,8759072,1003519,41587
18465,7118395,5136378,59570
17843,2930362,488559,587
17042,7311452,1203572,50845
20550,5977837,4207626,42361
17436,6740425,937437,92538
16962,2191054,355893,7226
18594,6989251,1535959,98911
17874,5689307,932282,50446
15248,6413870,2437215,76484
18648,7856709,928101,83015
19726,6717608,1067749,45160
20841,5598798,974126,61395
18773,5971162,932869,109419
17882,7412595,1305483,104672
18134,7503954,1137272,56444
15798,6410609,1053027,71126
15417,6532171,943986,405543
20587,8691534,2683096,134994
20633,4814176,1478942,61848
21017,5717971,1181228,88790
14670,6085400,1140431,111174
20259,4772648,534951,18542
21004,5491948,7927032,42075
19733,7219626,1085217,78577
19526,6258560,1039466,60536
18482,7634923,1230942,57307
19756,7398810,1097037,75532
17287,8654324,1133421,254524
18920,4124904,602683,21602
19027,6190830,974232,94826
17191,6885284,1449122,118114
18552,8060416,1294150,104010
19335,6474462,1188107,68517
17718,6591867,1113907,84507
19357,7215622,1750814,100027
16608,6015820,1422138,78364
17295,7603941,1288472,72877
16840,6924140,899692,670167
16134,4604183,437202,8766
17076,7035787,1012024,107674
19259,7744630,1593117,97287
20208,7317939,1421106,221814
17289,7736891,1010093,85579
21383,2345022,288561,2493
14579,5105322,2165542,42618
16875,8813450,1135850,71204
14943,7877858,1719142,121480
17224,8285494,1102736,125871
20199,5558583,727028,51193
20162,9498762,1086432,87598
17426,6585114,2002101,87713
18200,8016724,1891610,106324
20306,7282175,1809445,90108
18065,7513179,1257966,82287
18721,6726330,1432975,131107
17180,6863507,1110464,69870
15573,6377934,1530681,99751
17327,4525250,483545,31252
19938,6716073,1585855,136767
14538,3992742,406301,14695
20126,8122479,1204534,126806
19581,7434200,3516486,116825
15638,7242406,1164114,99042
15875,6345112,1167142,53852
17491,6651344,2169644,65306
18347,6415495,2684365,29133
21294,5725134,950749,129381
18102,6190407,1134466,73806
19956,7791374,1445087,81220
17004,6849876,1346153,98734
16897,7311584,954602,82012
15990,7291442,1298950,100743
19138,7074391,946580,61651
18597,5785698,1221995,54847
15326,5267033,664402,42000
20897,7526376,1015380,120374
17331,7399280,1664594,59955
16035,7042207,1333250,90437
18191,7336123,1142949,100250
17364,3415870,542990,5765
21109,4842853,914235,67408
21049,4915772,1116924,84816
17105,5616430,951166,64782
17028,6639249,800332,72211
17760,6358344,1288431,369686
18201,7939382,901720,68514
20827,6976348,796397,70154
17380,6495432,1560634,128160
19598,6444887,1220115,137692
15720,6508539,1078151,125864
16867,5470736,1282777,116097
17110,7151226,975078,113454
16810,6323315,1108484,29247
18886,8686418,2016201,58317
18358,7092188,1886621,124834
19538,6968302,1194117,229102
15263,7129445,969770,60406
16470,5305989,1048679,47239
20656,5719138,971177,56746
17870,5872891,1032681,520013
17710,7109368,1572861,99332
17695,6986681,1026741,87503
14938,7006633,1529734,80639
16060,6711993,1260743,93301
18671,7621595,1023852,134149
19086,7236460,1217726,90106
16526,6896649,1147850,136231
15900,7585764,1501298,50172
19672,6722410,3433384,76385
20035,5161009,1180865,128794
20036,5346470,2023070,25999
17866,6702519,986210,113888
18632,7025544,1203717,109952
18127,6403636,1004047,87769
19270,6669369,2963372,159805
18096,6130725,1308035,25335
17969,7174094,1156212,65820
17940,6468398,1644152,120236
16179,7182352,1127333,75116
20608,6628754,1010597,69246
16960,6667570,1072322,90526
15790,6680871,1224594,85179
16762,5438481,745169,19930
19000,4994594,1849990,67623
21075,5987167,806140,70857
18952,6580182,3359744,108213
19258,6671559,751374,103503
17768,8990835,1090955,76576
17873,6281752,657310,44919
17883,6377133,1301193,80940
16988,5861380,1102007,98639
20857,6020508,2595614,86744
15903,5069160,1581595,30288
19665,6681987,2363980,98774
14793,5877520,1120082,101152
14631,6435380,1326203,79300
14645,5447707,755004,85585
17578,6089923,1295822,71946
15745,6856008,1344327,86383
18898,8608848,831587,63847
14913,7357822,1249101,98691
17139,11018553,1865901,56178
19006,4682578,638067,37687
16364,7123901,1182431,129069
18104,7824688,1907726,60363
15801,6619316,1269227,88288
15758,7007051,1319404,62913
16698,7718118,1134243,100401
19111,5184841,847883,409509
18829,2304284,516211,29974
19750,5863698,1101733,86167
16016,4907394,642127,30998
14633,7054013,1633148,117833
15047,7220454,1004825,180974
15904,6594858,1067344,107649
18982,7596885,2955518,48690
19221,6053220,1591368,78581
20225,4275134,689524,48326
18679,7161114,1020039,97897
15704,2772480,201759,1873
19864,11222108,1756223,63319
18957,6696230,1819027,90928
15784,6251377,1236380,114423
16929,2784493,849507,3231
14945,6716161,1093817,100939
19577,6882903,1327577,144643
16417,7321086,1489905,999040
18759,6148063,3406597,166792
17872,6069179,1244011,177801
17374,6655984,908733,78214
16981,8619415,994171,39367
16069,7247588,1606505,97776
18553,7111057,2163193,173734
18469,6015398,948187,141385
18497,6894890,1232175,147162
21091,3803839,1019630,60290
19477,6621086,1110737,88177
21186,5850858,966575,95608
14987,5731200,684126,38953
15151,3729555,417304,50260
18512,6949792,1227467,71782
20220,7206003,897523,111555
15721,5770215,2606544,77907
19412,6011948,944123,184451
20556,5995968,1462461,20793
16223,7740886,1259598,77599
15337,6989004,1133422,87398
18693,6615093,1224819,54128
20276,6142788,955171,53208
19906,7073396,855964,100198
14616,5840397,888039,15280
21494,6908885,1116160,56646
21529,4345615,1287379,87683
20936,10694915,1144150,83417
18410,5644706,827561,83340
15108,6054849,1479200,79219
15674,3003253,580260,120127
19632,6684997,1301525,125263
16210,5943845,1132834,52951
20137,6442152,1291299,88579
19310,5768618,1041256,60202
19079,3027043,488825,2311
16503,6537922,981971,71810
18460,5865432,1128598,78228
18246,5048031,605896,15377
18273,6906772,1449323,147280
19053,6296833,1466044,82450
16979,5382703,1483677,120844
16833,8245441,1136826,69937
16837,5955568,1203204,60111
18114,5245206,1066887,61465
18524,6944570,1148891,110200
19861,5467359,1047954,25748
15414,6863627,1522987,58842
16777,6273952,16300655,75242
14566,5118907,644439,25353
14908,7027754,919810,85247
20780,5437645,1428672,85454
16877,7123126,3146218,69905
18100,6135343,1273087,144148
18781,7071440,1266202,95529
14604,7008462,781869,108919
19586,6533603,1070553,97329
16889,6238481,1204827,93270
16290,6879093,1056694,81971
16461,6364869,1344262,129786
14765,7208081,1088390,74096
20806,6953671,903024,163679
17627,4917515,443596,30891
19441,5550833,969197,76023
16572,5708072,1259004,76422
16203,5789980,1062175,37225
18011,9552504,1352458,35330
18298,6544538,1216584,118888
19720,7425254,955642,105050
14783,6143313,1657393,102507
19849,4300959,575186,8734
16694,5980662,1134021,106338
18228,5067411,681460,26180
19509,6791209,1437336,61725
14988,6328034,1088169,101247
20731,6130371,1102075,101027
15029,8544229,1176382,46904
19799,6705994,1266223,137302
20564,5861194,1043003,126825
18550,6361681,1134302,72597
19911,6634387,1063682,121408
15330,5812887,1025693,100910
17962,5500089,1074689,87376
21285,6658474,960856,448629
19499,6400878,1535244,69220
20593,6141855,1233780,139001
16515,7130149,1323785,36847
18453,7686175,1097746,44556
15537,6653429,1185517,123290
14923,11989263,1579353,164159
14843,6790214,1335383,72007
14855,7137999,1255715,87904
15153,5948126,1345064,48589
21260,5542019,1002402,73193
18584,6213946,907578,49996
17595,5383979,1482997,47872
20325,7839174,1247736,114119
20173,5097999,667712,70491
19181,5541301,991946,102062
19290,6033516,2705906,57927
17145,6826728,1140729,84961
16070,6168556,873130,247559
15220,6976709,958314,144647
18480,5517332,712610,32342
17297,8442682,1257207,84224
14624,5964558,895035,29841
14898,6329248,973425,62740
20728,6798730,1203127,95209
21450,6953156,875342,111659
14903,5964015,2281619,139134
20579,6062680,1004373,42389
17074,4755043,1006163,63495
20816,6289284,1446637,67488
18634,7524183,959648,89456
14940,7293300,1803342,40652
14854,6554749,1100364,61867
21323,6290112,870492,116674
20080,6433541,920683,33833
14715,6083637,5321911,137975
17066,6879523,3068962,50499
16028,5107312,616107,17709
14686,6393591,1077523,156446
19028,6930221,968931,105682
17764,6496151,1108015,50623
19345,5859745,743456,62000
18151,7288244,1020082,102031
20277,6328318,940634,101423
17799,6212282,5561574,55464
17467,6371600,1394997,122758
21045,6341402,1073645,80522
17094,14257399,1069707,209391
19835,6980974,1104181,117641
14540,6766156,1757391,64557
17135,8107870,751598,103605
19253,6472102,1245221,114471
19303,7475180,1030988,123810
20113,6762958,952698,128894
18055,7671996,1135267,57538
19126,2221295,392684,64482
16404,6249726,1561505,65206
17162,6088685,1193791,85654
19263,6410149,881249,112180
16724,6816596,1581150,283797
15708,7058198,1014555,65305
14741,6371632,844035,60587
16866,5813733,1060381,50829
19825,7562802,2118317,513747
17043,7290726,1871054,138809
21418,7997416,498121,16486
18454,7748331,1462362,59295
20800,6926395,1394238,111416
17879,2677079,445701,44552
17899,2893475,1717435,3374
17204,6315104,1220722,52192
14658,6079330,1137926,133725
15145,6537466,1211826,87273
17966,7817231,1061740,154125
14820,5929861,698083,64832
19500,7232188,1098112,98139
20248,6771457,1466484,101601
17089,6842383,1568742,59814
17141,6324327,2276929,76618
18064,6258967,1620776,67908
19829,5850929,1758547,74633
16014,7589566,1197957,52338
17833,7141861,1023649,82870
17392,6553451,1058396,148646
17382,4458119,504989,14264
18744,5937602,1033923,71960
15639,4626338,596081,53782
17462,6125586,1000723,72777
17273,6978031,1147167,120318
14799,5442896,3610913,45045
20559,5284726,1675032,49693
18852,6386587,720739,85691
15983,6517690,1352575,71477
15817,5777167,1016440,29707
15691,8025904,1499176,329280
18932,8786888,1321357,84622
16091,7545211,1372891,108803
19994,7348324,1202324,146841
20570,6083589,1561714,91298
17990,5439883,883136,54431
17663,6265550,1196055,74682
19800,5512457,1017085,37452
20057,6508241,745198,95307
16025,7396682,1104950,132819
15019,7634803,1642694,89665
20359,7407360,1113711,112007
19681,6827476,1100823,62460
15931,6710163,1096995,94030
16611,6932459,1736857,86255
19401,5522907,623553,40869
18442,9156025,1919285,119136
15707,6335346,1991858,175704
20177,5598852,710926,5825
19276,6640272,1085897,128407
21504,8461902,955488,391121
20612,3867392,485543,4961
20171,7965899,1596712,46044
15754,7943836,1227986,103455
21084,6293909,1136865,719434
20586,6320858,1084710,55350
16111,6677214,944892,94194
20130,6508489,1121698,127822
20616,6348934,689705,53033
14719,6763249,1321231,186504
19117,7344567,1109641,68940
