occurance,start_station_id,start_lat,start_lon
220007,267.0,40.752,-73.989
220007,267.0,40.75097711,-73.98765428
96737,282.0,40.707,-73.968
96737,282.0,40.707644944175705,-73.968415260314941
96737,282.0,40.70827295,-73.96834101
166101,320.0,40.71743998,-74.00583475
166101,320.0,40.717571,-74.005549
166101,320.0,40.719,-74.007
92078,2004.0,40.724399,-74.004704
63109,3320.0,40.793393,-73.9635556
63109,3320.0,40.794066608185517,-73.962868452072144
63109,3320.0,40.794,-73.962
23844,3610.0,40.770845,-73.934171
174727,3687.0,40.743,-73.974
174727,3687.0,40.74322681432173,-73.974497839808464
19122,3738.0,40.719383,-73.991479
28911,3782.0,40.698458,-73.997178
6292,3857.0,40.72158,-73.94546
1177,3867.0,40.67945,-73.90474
1072,3957.0,40.811675,-73.917037
19680,4043.0,40.782535857724106,-73.979085087776184
456,4053.0,40.835798,-73.937496
884,4239.0,40.757334,-73.974235
42,4256.0,40.767666,-73.910963
195770,259.0,40.70122128,-74.01234218
195770,259.0,40.701,-74.013
290505,317.0,40.72453734,-73.98185424
68350,2022.0,40.75849116,-73.95920622
68350,2022.0,40.758,-73.959
68350,2022.0,40.759107,-73.959223
144106,3295.0,40.791,-73.965
144106,3295.0,40.79127,-73.964839
55529,3345.0,40.788,-73.953
55529,3345.0,40.789485415532148,-73.952429294586182
68884,3428.0,40.740983,-74.001702
44536,3462.0,40.751183874632773,-73.971387147903442
34174,3509.0,40.8011939,-73.9500739
34174,3509.0,40.8,-73.95
43604,3529.0,40.8107922,-73.9430681
20800,3605.0,40.7658346,-73.9265474
52315,3637.0,40.683238654603407,-73.965995907783508
86622,3718.0,40.727464206923919,-73.979504182934761
4536,3819.0,40.73396,-73.95204
3533,3861.0,40.70113,-73.91422
9639,3870.0,40.697481,-73.935877
599,3941.0,40.801657,-73.909513
5142,4068.0,40.852252,-73.937854
1087,4102.0,40.829608,-73.921461
3074,4225.0,40.696232971293163,-73.991420567035675
173512,330.0,40.71450451,-74.00562789
355941,334.0,40.743,-73.998
355941,334.0,40.74238787,-73.99726235
136342,342.0,40.71739973,-73.98016555
429429,359.0,40.75510267,-73.97498696
429429,359.0,40.755,-73.974
34505,384.0,40.68317813,-73.9659641
34505,384.0,40.683048,-73.964915
254135,394.0,40.72521311,-73.97768752
32319,3054.0,40.6894932,-73.942061
150128,3166.0,40.782,-73.986
150128,3166.0,40.780577990103339,-73.985624313354492
11244,3337.0,40.673635513415043,-74.011955559253693
137244,3409.0,40.6867443,-73.99063168
44667,3552.0,40.805973,-73.964928
44667,3552.0,40.806,-73.965
2496,3849.0,40.70636,-73.91945
1510,3878.0,40.69812,-73.90271
1918,4027.0,40.830663,-73.941323
25604,4045.0,40.77237,-73.99005
175,4203.0,40.824956,-73.891677
285,4206.0,40.811892,-73.904192
3,4269.0,40.754164,-73.908906
81,4312.0,40.77977,-73.923162
127525,249.0,40.71870987,-74.0090009
127525,249.0,40.719,-74.01
186299,295.0,40.71406667,-73.99293911
48216,373.0,40.69331716,-73.95381995
118639,463.0,40.74206539,-74.00443172
268187,484.0,40.75500254,-73.98014437
186293,488.0,40.75645824,-73.99372222
804,3017.0,40.751483,-73.996764
34494,3041.0,40.67890679,-73.94142771
4418,3476.0,40.725769967272143,-73.9507395029068
39417,3537.0,40.6809741,-73.9710097
12169,3607.0,40.7682,-73.9322662
10514,3760.0,40.705614,-73.92153
12419,3810.0,40.782593,-73.971211
5552,3817.0,40.71773,-73.94051
9453,3823.0,40.70099,-73.93921
1107,3933.0,40.817755,-73.92965
3262,4018.0,40.817555,-73.957163
567,4244.0,40.752149,-73.989539
69724,353.0,40.686,-73.974
69724,353.0,40.68539567,-73.97431458
441527,387.0,40.71273266,-74.0046073
276015,2003.0,40.73416059,-73.98024289
276015,2003.0,40.73381219,-73.98054421
276015,2003.0,40.733812191966322,-73.980544209480286
30137,3344.0,40.679043,-74.011169
9028,3394.0,40.6769993,-74.00647134
42867,3436.0,40.721319,-74.010065
9875,3455.0,40.686808205034318,-73.980361819267273
16816,3456.0,40.716,-73.947
16816,3456.0,40.716380319735613,-73.948212862014771
50590,3558.0,40.6794388,-73.9680438
50590,3558.0,40.68,-73.968
6999,3803.0,40.665816,-73.956934
1482,3851.0,40.71401,-73.92793
2032,3923.0,40.808484,-73.928803
3136,3935.0,40.816355,-73.954295
3687,3942.0,40.8190344,-73.956156
8005,3998.0,40.813619,-73.939336
2818,4056.0,40.839137,-73.941409
1386,4063.0,40.846052,-73.937648
16,4319.0,40.757357,-73.904726
59846,144.0,40.69839895,-73.98068914
63706,290.0,40.76020258,-73.96478473
175200,428.0,40.72467721,-73.98783413
255040,469.0,40.76344058,-73.98268129
391807,496.0,40.73726186,-73.99238967
391807,496.0,40.737,-73.992
240744,540.0,40.743115553764859,-73.982153534889221
240744,540.0,40.74147286,-73.98320928
24280,3399.0,40.672602981501257,-73.989830017089844
134409,3463.0,40.735367055605394,-73.987973928451538
134409,3463.0,40.734,-73.989
7816,3934.0,40.816234,-73.948222
2555,4065.0,40.848467,-73.936064
125312,143.0,40.69239502,-73.99337909
125312,143.0,40.692,-73.992
216047,247.0,40.73535398,-74.00483091
319040,517.0,40.75149263,-73.97798848
319040,517.0,40.751581,-73.97791
319040,517.0,40.752141,-73.979782
319040,517.0,40.752,-73.977
8061,2005.0,40.70531194,-73.97100056
29735,3287.0,40.789622,-73.97757
29735,3287.0,40.790261,-73.977131
28611,3317.0,40.6686273,-73.98700053
68460,3553.0,40.803,-73.956
68460,3553.0,40.801694,-73.957145
1958,3895.0,40.701573408737922,-73.90876293182373
6101,3899.0,40.72084,-73.94844
24423,3992.0,40.8428422,-73.9421253
1582,4057.0,40.839443,-73.937044
20910,4122.0,40.792495194951108,-73.964170664630714
5,4267.0,40.762507,-73.902534
19,4317.0,40.757764,-73.907654
9,4320.0,40.776168,-73.910485
254135,303.0,40.72362738,-73.99949601
47109,395.0,40.68807003,-73.98410637
255556,480.0,40.76669671,-73.99061728
255556,480.0,40.767,-73.992
318838,515.0,40.761,-73.995
318838,515.0,40.76009437,-73.99461843
269989,520.0,40.75992262,-73.97648516
331255,2008.0,40.70569254,-74.01677685
331255,2008.0,40.707,-74.016
15378,3073.0,40.70691254,-73.95441667
247,3257.0,40.773768670228741,-73.971169888973236
25666,3348.0,40.677236,-74.015665
45669,3355.0,40.768008893059474,-73.96845281124115
15698,3573.0,40.7580583,-73.9242751
15698,3573.0,40.758,-73.923
8197,3620.0,40.7519071,-73.9479119
4868,4017.0,40.81449,-73.936153
616,4086.0,40.840536,-73.919228
538,4105.0,40.823162,-73.923267
383,4150.0,40.836103,-73.907199
143915,398.0,40.69165183,-73.9999786
338596,447.0,40.76370739,-73.9851615
338596,447.0,40.764,-73.986
354403,483.0,40.73223272,-73.98889957
243626,539.0,40.71534825,-73.96024116
357981,545.0,40.736502,-73.97809472
357981,545.0,40.737,-73.977
69551,3109.0,40.72606,-73.95621
139147,3129.0,40.752,-73.941
139147,3129.0,40.75110165,-73.94073717
53863,3508.0,40.809725,-73.953149
26462,3541.0,40.813358,-73.956461
35295,3580.0,40.674,-73.962
35295,3580.0,40.6737236,-73.9631611
8168,3666.0,40.7664255270288,-73.920629024505615
25632,3701.0,40.708317943663957,-74.005040824413285
14471,3771.0,40.707,-73.935
14471,3771.0,40.706237,-73.933871
922,4084.0,40.835334,-73.9154
420,4140.0,40.822545,-73.901824
2686,4193.0,40.85168,-73.94186
2043,4238.0,40.762009,-73.996975
49,4316.0,40.75388,-73.914952
285363,347.0,40.728846,-74.008591
285363,347.0,40.72873888,-74.00748842
285363,347.0,40.728,-74.01
177211,348.0,40.72490985,-74.00154702
24865,372.0,40.694546087246025,-73.958013653755188
24865,372.0,40.694528,-73.958089
319428,457.0,40.76695317,-73.98169333
461644,504.0,40.731,-73.983
461644,504.0,40.73221853,-73.98165557
74797,512.0,40.7500727,-73.99839279
97553,3110.0,40.72708584,-73.95299117
97553,3110.0,40.728,-73.953
28448,3616.0,40.7656251,-73.9136695
7323,3661.0,40.666439306870814,-73.9605563879013
983,3988.0,40.805631,-73.934077
246,4107.0,40.837213,-73.908345
1796,4109.0,40.84925,-73.93022
612,4138.0,40.82696,-73.907451
741,4162.0,40.834124,-73.88955
536,4210.0,40.83196,-73.91956
1427,4222.0,40.822217,-73.928939
194,4306.0,40.773015082913822,-73.911190330982208
147080,253.0,40.73543934,-73.99453948
232623,280.0,40.73331967,-73.99510132
232623,280.0,40.734,-73.995
471569,281.0,40.7643971,-73.97371465
471569,281.0,40.764,-73.974
191416,3168.0,40.785,-73.971
191416,3168.0,40.78472675,-73.96961715
100050,3318.0,40.7839636,-73.9471673
671,3548.0,40.6777747,-73.9529322
18368,3568.0,40.7569332,-73.9262231
10419,3774.0,40.704425,-73.92836
4797,3846.0,40.69676,-73.92302
