year,day_of_week,hour_of_day,minute,num_rides
2016,1,0,1,482
2017,5,0,16,317
2015,2,0,50,128
2015,3,0,12,191
2017,6,0,28,363
2015,1,0,41,291
2014,3,0,48,108
2015,1,0,26,308
2016,1,0,31,370
2015,7,0,6,345
2016,2,0,6,284
2016,3,0,45,159
2015,4,0,57,110
2015,5,0,24,222
2016,6,0,14,395
2017,7,0,56,365
2015,6,0,55,173
2017,7,0,29,482
2017,5,0,23,332
2014,4,0,9,188
2017,6,0,42,279
2017,2,0,32,240
2016,1,0,14,460
2015,2,0,43,109
2016,6,0,7,458
2015,2,0,41,136
2015,7,0,29,299
2016,1,0,59,325
2016,5,0,9,376
2015,2,0,44,125
2016,1,0,17,463
2016,3,0,8,247
2017,1,0,40,419
2017,1,0,15,480
2017,3,0,34,236
2016,5,0,8,370
2016,1,0,48,373
2017,7,0,4,540
2017,1,0,47,428
2014,7,0,44,249
2015,7,0,15,335
2017,5,0,1,449
2017,1,0,45,456
2017,7,0,46,395
2015,6,0,24,222
2016,4,0,47,180
2017,6,0,39,338
2017,7,0,26,446
2016,5,0,5,419
2016,7,0,13,467
2016,4,0,23,258
2016,1,0,26,410
2017,1,0,28,496
2017,4,0,30,243
2017,1,0,30,502
2017,3,0,18,241
2015,6,0,47,201
2017,7,0,40,402
2017,1,0,56,417
2016,5,0,30,273
2016,5,0,29,275
2016,7,0,26,432
2016,7,0,0,513
2017,7,0,17,594
2017,3,0,25,224
2017,2,0,22,290
2017,4,0,24,283
2017,2,0,55,160
2017,1,0,18,476
2016,5,0,44,227
2017,5,0,24,295
2016,2,0,37,177
2017,6,0,17,390
2017,6,0,55,277
2017,3,0,3,351
2016,4,0,1,345
2017,1,0,52,370
2017,2,0,8,313
2017,6,0,33,365
2017,1,0,21,501
2017,3,0,29,207
2017,6,0,11,437
2017,2,0,46,167
2017,7,0,50,389
2015,4,0,44,141
2016,4,0,30,227
2016,5,0,53,205
2016,2,0,36,199
2017,5,0,57,221
2016,7,0,32,396
2017,6,0,29,348
2016,4,0,11,305
2016,4,0,3,326
2017,2,0,37,205
2016,1,0,58,329
2017,6,0,37,306
2017,2,0,36,240
2017,6,0,6,468
2016,7,0,4,515
2017,5,0,33,281
2017,7,0,15,515
2017,3,0,0,293
2017,2,0,27,238
2016,6,0,39,298
2016,1,0,8,493
2017,6,0,7,458
2017,3,0,37,224
2016,4,0,33,226
2017,6,0,38,297
2017,1,0,32,475
2017,4,0,53,181
2016,6,0,43,239
2017,7,0,38,418
2017,5,0,48,228
2016,7,0,56,333
2016,4,0,55,165
2016,2,0,39,185
2016,1,0,20,443
2017,7,0,10,569
2017,4,0,35,249
2017,4,0,2,372
2016,4,0,12,283
2017,2,0,54,183
2017,5,0,9,411
2017,3,0,55,162
2016,2,0,51,134
2017,4,0,4,326
2016,1,0,12,419
2017,6,0,57,258
2016,5,0,46,201
2017,3,0,51,195
2016,2,0,54,137
2016,7,0,6,498
2016,5,0,32,273
2017,5,0,44,241
2015,4,0,35,185
