year,day_of_week,hour_of_day,minute,num_rides
2018,3,1,23,133
2016,7,1,14,290
2015,7,1,30,190
2014,7,1,0,197
2014,5,1,58,43
2015,6,1,6,155
2014,6,1,6,153
2015,3,1,14,93
2014,1,1,18,189
2015,3,1,38,73
2014,5,1,48,56
2018,2,1,15,145
2014,6,1,20,119
2014,4,1,37,53
2015,2,1,11,107
2017,1,1,23,371
2016,3,1,14,122
2016,3,1,30,101
2016,6,1,9,193
2016,4,1,17,130
2021,6,1,29,25
2015,7,1,37,195
2013,5,1,46,65
2021,6,1,37,18
2016,6,1,40,140
2015,7,1,43,178
2015,6,1,0,155
2013,6,1,2,121
2015,5,1,53,67
2017,6,1,11,214
2015,7,1,18,222
2018,4,1,56,100
2017,5,1,42,102
2017,4,1,3,192
2016,7,1,59,221
2018,5,1,10,184
2017,3,1,39,75
2016,6,1,24,177
2018,3,1,6,173
2019,5,1,1,246
2015,6,1,43,118
2017,5,1,36,116
2016,3,1,5,119
2016,4,1,45,84
2017,5,1,58,86
2020,4,1,14,250
2015,5,1,17,144
2021,4,1,13,7
2016,7,1,12,287
2019,3,1,32,129
2018,2,1,30,123
2015,6,1,19,133
2014,2,1,52,49
2016,3,1,59,57
2017,1,1,12,405
2017,2,1,6,145
2017,3,1,7,186
2019,7,1,37,358
2020,6,1,47,183
2017,2,1,13,145
2014,2,1,41,49
2019,5,1,29,200
2015,6,1,38,133
2017,6,1,58,132
2017,5,1,16,143
2017,2,1,12,138
2016,3,1,34,80
2020,3,1,41,155
2019,1,1,16,472
2020,2,1,7,225
2017,4,1,57,93
2021,5,1,27,10
2016,7,1,18,257
2017,3,1,31,93
2019,2,1,12,204
2016,5,1,12,156
2020,3,1,52,135
2016,7,1,57,218
2018,4,1,0,204
2016,2,1,55,72
2017,5,1,34,98
2018,4,1,16,143
2017,7,1,3,342
2021,1,1,20,21
2019,3,1,59,110
2021,2,1,44,10
2018,1,1,48,287
2017,6,1,6,237
2018,6,1,30,201
2020,6,1,30,202
2018,5,1,5,191
2015,6,1,8,161
2018,5,1,7,206
2021,7,1,11,20
2019,1,1,3,611
2018,7,1,34,331
2018,4,1,29,138
2019,2,1,37,147
2018,7,1,52,275
2020,4,1,6,260
2016,2,1,54,59
2020,4,1,54,142
2017,7,1,31,263
2019,1,1,19,503
2016,2,1,50,61
2019,4,1,31,154
2019,4,1,36,161
2019,1,1,30,460
2016,6,1,1,206
2017,7,1,36,267
2017,5,1,59,92
2019,4,1,39,121
2019,5,1,56,123
2016,5,1,16,134
2019,4,1,37,151
2019,5,1,6,198
2017,4,1,47,104
2020,6,1,39,215
2019,1,1,33,467
2019,6,1,2,288
2019,6,1,17,251
2020,1,1,49,365
2020,5,1,23,213
2019,2,1,22,179
2020,3,1,47,136
2018,5,1,29,143
2018,5,1,54,112
2020,2,1,47,142
2017,6,1,48,158
2020,7,1,42,377
2018,7,1,31,354
2018,4,1,10,185
2019,4,1,9,195
2014,3,1,25,59
2018,2,1,26,140
2014,7,1,6,222
2018,5,1,8,224
2018,3,1,17,128
2018,3,1,55,67
2018,3,1,26,127
2019,4,1,24,155
2020,3,1,17,191
2018,3,1,43,109
2013,6,1,31,84
2021,1,1,35,20
2018,2,1,20,141
2018,5,1,12,194
2020,5,1,50,146
2018,4,1,39,129
2018,2,1,7,162
2019,4,1,7,208
2013,3,1,24,60
2013,5,1,50,45
2018,3,1,33,122
2014,3,1,20,58
2014,6,1,24,125
2014,3,1,6,91
2014,7,1,56,133
2014,7,1,47,158
2013,6,1,25,90
2019,6,1,31,198
2018,7,1,56,243
2019,5,1,34,160
2019,6,1,0,283
2013,4,1,30,77
2014,2,1,21,67
2014,2,1,33,57
2018,3,1,4,165
2018,2,1,42,119
2018,6,1,40,173
2019,4,1,32,151
2019,5,1,20,187
2013,1,1,56,142
2019,7,1,45,374
2014,6,1,18,130
2018,2,1,32,120
2019,6,1,16,281
2020,3,1,36,129
2019,4,1,56,131
2018,5,1,4,178
2019,3,1,17,167
2020,3,1,37,147
2019,6,1,56,171
2013,6,1,7,124
2013,6,1,1,119
2013,4,1,57,31
2018,4,1,46,122
2018,7,1,33,346
2020,6,1,53,190
2020,2,1,39,154
2019,2,1,33,156
2019,5,1,31,147
2018,5,1,49,97
2019,3,1,53,131
2014,6,1,19,120
2014,4,1,11,106
2013,6,1,4,95
2018,3,1,19,168
2014,6,1,43,95
2013,4,1,8,65
2014,5,1,20,108
2014,1,1,13,186
2014,7,1,17,182
2014,5,1,7,109
2018,4,1,40,131
2013,4,1,22,71
2013,5,1,23,80
2013,1,1,7,203
2019,6,1,33,202
2013,5,1,1,90
2018,6,1,0,264
2014,5,1,5,110
2014,5,1,11,85
2018,1,1,22,350
2013,7,1,55,110
2018,5,1,27,167
2021,5,1,11,14
2020,2,1,59,139
2019,5,1,26,171
2013,4,1,36,57
2013,5,1,24,71
2019,2,1,1,209
2020,3,1,26,178
2018,5,1,43,137
2019,5,1,33,155
2014,2,1,0,89
2019,5,1,40,152
2021,2,1,19,7
2014,2,1,12,63
2014,1,1,38,161
2021,7,1,39,10
2018,3,1,15,137
2019,5,1,57,127
2019,4,1,55,130
2018,2,1,47,114
2013,7,1,23,138
2014,5,1,43,68
2013,7,1,37,118
2018,2,1,2,174
2018,7,1,59,263
2018,3,1,46,98
2019,5,1,44,147
2018,2,1,23,144
2014,4,1,8,106
2014,6,1,26,102
2014,6,1,35,94
2018,1,1,49,288
2014,3,1,30,73
2020,3,1,53,117
2018,1,1,53,281
2018,7,1,37,311
2019,4,1,3,219
2018,2,1,17,135
2013,1,1,57,147
2013,7,1,3,160
2021,1,1,58,10
2020,6,1,33,201
2018,6,1,1,268
2014,7,1,39,183
2021,3,1,13,6
2018,5,1,13,179
2019,5,1,4,209
2018,5,1,3,202
2014,7,1,5,179
2013,7,1,1,170
2014,5,1,28,63
2014,6,1,34,95
2014,3,1,56,51
2019,3,1,47,133
2014,5,1,3,96
2018,5,1,38,141
2020,5,1,40,150
2013,2,1,17,49
2014,3,1,31,78
2013,2,1,53,40
2013,3,1,16,51
2019,6,1,50,180
2019,7,1,58,345
2019,3,1,11,158
2018,3,1,21,142
2019,4,1,47,122
2014,3,1,11,101
2014,6,1,27,99
2013,3,1,28,50
2018,2,1,33,113
2019,4,1,33,160
2019,5,1,22,179
2020,4,1,30,203
2020,6,1,5,300
2014,6,1,49,75
2013,6,1,57,64
2013,4,1,40,48
2013,5,1,43,44
2013,7,1,7,136
2013,4,1,55,37
2019,4,1,13,227
2018,7,1,0,386
2019,3,1,7,189
2019,6,1,37,210
2014,4,1,23,82
2014,2,1,29,75
2013,1,1,34,185
2021,2,1,45,8
2014,1,1,0,215
2013,3,1,40,41
2014,5,1,40,64
2018,4,1,2,198
2014,5,1,6,97
2014,4,1,42,63
2014,2,1,20,87
2018,2,1,11,170
2019,2,1,26,144
2018,5,1,55,114
2013,6,1,8,104
2013,3,1,36,50
2019,3,1,36,133
2019,6,1,55,188
2019,7,1,24,420
2020,4,1,15,236
2018,6,1,41,183
2014,1,1,31,182
2014,3,1,12,88
2014,5,1,39,60
2014,6,1,14,129
2013,6,1,22,84
2014,4,1,52,49
2013,7,1,13,165
2018,3,1,48,83
2021,2,1,12,7
2020,3,1,18,174
2020,3,1,14,223
2019,3,1,26,141
2019,2,1,18,171
2013,6,1,6,120
2014,6,1,50,82
2014,6,1,30,112
2021,6,1,55,12
2019,2,1,57,128
2014,6,1,8,123
2013,6,1,58,59
2013,3,1,48,42
2013,6,1,19,82
2019,4,1,53,112
2013,1,1,46,138
2014,3,1,28,70
2014,5,1,46,54
2021,7,1,59,7
2021,7,1,2,19
2021,2,1,32,9
2021,7,1,0,20
2021,5,1,20,8
2020,2,1,56,140
2019,3,1,13,175
2019,6,1,38,204
2013,3,1,38,38
2014,7,1,32,169
2019,3,1,49,127
2014,1,1,46,186
2014,4,1,46,63
2021,6,1,15,21
2021,3,1,26,7
2018,6,1,12,252
2018,4,1,50,121
2013,4,1,26,60
2021,4,1,20,14
2014,5,1,25,64
2019,3,1,48,117
2018,5,1,32,124
2019,3,1,51,121
2018,5,1,23,153
2019,3,1,57,115
2014,5,1,42,66
2021,6,1,1,22
2021,7,1,18,16
2014,4,1,44,66
2019,3,1,39,127
2016,6,1,33,134
2017,2,1,56,75
2015,3,1,54,51
2015,5,1,44,81
2016,7,1,45,203
2017,6,1,20,208
2017,2,1,32,100
2017,5,1,8,150
2015,7,1,54,166
2016,5,1,31,122
2017,7,1,26,329
2015,5,1,19,96
2015,1,1,22,278
2015,2,1,14,91
2016,7,1,37,257
2016,4,1,15,141
2015,1,1,45,210
2016,2,1,52,85
2017,5,1,6,204
2015,4,1,35,68
2016,4,1,32,98
2015,3,1,49,69
2015,5,1,54,60
2015,6,1,25,109
2017,2,1,28,139
2015,6,1,44,108
2015,5,1,9,120
2016,6,1,56,124
2015,2,1,2,107
2014,2,1,39,52
2017,3,1,45,93
2017,3,1,43,87
2017,3,1,28,97
2014,4,1,27,67
2015,4,1,11,110
2016,3,1,4,135
2015,2,1,37,87
2016,3,1,55,63
2017,6,1,56,111
2014,2,1,49,60
2015,6,1,46,106
2017,6,1,36,168
2015,7,1,16,235
2017,3,1,10,137
2017,7,1,42,279
2015,4,1,4,124
2017,7,1,7,360
2015,3,1,8,99
2015,6,1,40,98
2017,2,1,57,101
2015,5,1,47,87
2016,4,1,27,101
2017,5,1,23,145
2016,7,1,58,198
2016,4,1,35,91
2016,6,1,38,145
2015,5,1,56,78
2016,7,1,41,208
2016,3,1,22,105
2015,7,1,46,169
2016,4,1,3,177
2016,2,1,25,102
2016,1,1,52,251
2017,6,1,43,130
2017,6,1,0,230
2014,5,1,47,62
2016,6,1,19,172
2015,4,1,17,107
2017,5,1,22,155
2015,4,1,57,48
2015,7,1,36,181
2014,4,1,54,46
2016,6,1,17,174
2015,3,1,1,105
2015,2,1,58,42
2016,7,1,10,284
2017,1,1,35,308
2016,4,1,59,66
2015,5,1,28,94
2015,3,1,9,114
2015,7,1,13,229
2014,2,1,3,88
2016,6,1,43,141
2016,2,1,43,74
2017,6,1,37,142
2016,4,1,49,85
2016,7,1,8,268
2016,6,1,6,201
2015,3,1,25,79
2014,2,1,30,67
2015,2,1,0,95
2015,5,1,49,73
2016,5,1,37,114
2016,6,1,21,155
2016,4,1,34,95
2016,2,1,59,80
2017,6,1,10,217
2017,4,1,30,142
2017,3,1,56,85
2017,4,1,37,103
2017,4,1,6,194
2017,6,1,16,180
2017,3,1,49,67
2015,7,1,55,170
2014,4,1,20,85
2015,4,1,2,120
2016,3,1,49,63
2015,4,1,14,109
2016,3,1,21,85
2017,1,1,56,259
2017,7,1,12,318
2016,4,1,58,100
2015,7,1,50,149
2015,6,1,54,103
2015,2,1,47,65
2013,2,1,20,54
2017,2,1,46,88
2017,2,1,31,113
2015,6,1,2,184
2017,5,1,56,95
2017,6,1,33,160
2015,6,1,50,110
2015,1,1,56,188
2015,2,1,39,77
2015,5,1,52,72
2015,6,1,22,126
2014,3,1,35,71
2016,4,1,46,79
2016,4,1,44,74
2015,4,1,53,51
2017,3,1,5,164
2015,3,1,11,97
2016,3,1,38,61
2017,4,1,33,123
2016,5,1,57,86
2016,4,1,24,108
2015,2,1,9,105
2014,3,1,9,88
2018,2,1,45,106
2016,6,1,41,118
2018,3,1,29,130
2021,1,1,44,17
2019,2,1,56,111
2021,4,1,54,9
2013,2,1,58,48
2021,5,1,39,12
2021,2,1,48,7
2013,3,1,0,87
2021,6,1,19,17
2021,1,1,8,29
2019,2,1,55,107
2021,2,1,22,12
2021,5,1,41,7
2020,2,1,30,179
2014,2,1,16,82
2015,5,1,34,83
2013,5,1,53,41
2016,5,1,44,97
2015,4,1,19,86
2015,5,1,38,78
2016,3,1,37,73
2016,3,1,50,79
2014,2,1,54,41
2013,2,1,29,37
2014,3,1,51,52
2013,5,1,27,59
2013,3,1,33,56
2013,4,1,37,52
2013,2,1,31,45
2013,3,1,2,70
2013,2,1,25,50
2013,5,1,56,37
2015,3,1,51,62
2015,2,1,54,53
2013,5,1,28,70
2016,6,1,34,133
2016,6,1,52,136
2015,3,1,30,89
2017,3,1,57,73
2016,2,1,19,93
2021,1,1,28,31
2021,6,1,26,16
2021,7,1,38,9
2021,1,1,23,17
2021,7,1,10,15
2021,4,1,40,4
2021,3,1,27,6
2021,4,1,8,12
2021,7,1,4,21
2021,6,1,33,17
2021,4,1,10,12
2020,3,1,45,130
2021,1,1,49,12
2014,4,1,19,98
2021,7,1,30,10
2021,7,1,28,15
2014,3,1,23,72
2021,5,1,25,8
2021,3,1,29,8
2016,3,1,29,79
2014,2,1,5,95
2021,6,1,16,18
2014,3,1,59,48
2013,5,1,51,60
2021,3,1,57,8
2013,5,1,13,90
2021,7,1,47,14
2013,3,1,23,61
2021,4,1,50,5
2013,4,1,28,43
2013,6,1,50,67
2021,7,1,16,18
2021,1,1,13,28
2021,7,1,14,15
2021,3,1,40,13
2014,3,1,47,50
2021,5,1,43,5
2021,6,1,23,23
2021,4,1,11,10
2021,4,1,2,10
2021,5,1,56,4
2021,3,1,37,8
2014,3,1,43,47
2015,4,1,39,77
2014,2,1,48,47
2021,5,1,14,10
2021,7,1,43,12
2021,6,1,8,16
2013,5,1,37,52
2021,2,1,37,6
2021,2,1,8,9
2015,3,1,56,50
2015,2,1,32,74
2021,2,1,23,6
2021,2,1,10,12
2021,1,1,42,18
2021,7,1,26,14
2021,7,1,27,14
2013,2,1,12,48
2021,4,1,28,10
2021,5,1,40,7
2021,6,1,20,14
2013,3,1,50,33
2021,2,1,2,11
2021,2,1,14,8
2021,6,1,34,17
2021,1,1,18,16
2013,3,1,59,33
2021,1,1,55,14
2021,6,1,13,16
2021,6,1,11,22
2021,6,1,2,25
2021,7,1,44,11
2013,3,1,43,38
2014,3,1,55,40
2017,4,1,54,95
2021,3,1,33,11
2021,1,1,31,21
2021,7,1,37,15
2021,2,1,40,8
2021,7,1,22,21
2021,7,1,41,16
2021,7,1,45,16
2021,5,1,57,11
2021,5,1,33,9
2013,2,1,54,27
2021,7,1,12,21
2021,3,1,16,7
2021,5,1,34,14
2021,1,1,14,17
2021,5,1,52,7
2021,2,1,20,14
2021,7,1,53,11
2021,2,1,18,6
2021,6,1,38,15
2021,6,1,28,16
2021,5,1,8,14
2021,7,1,57,6
2021,6,1,18,8
2021,5,1,51,15
2021,6,1,14,23
2021,4,1,36,4
2021,7,1,35,10
2021,4,1,27,7
2021,5,1,50,6
2021,4,1,14,5
2021,7,1,51,16
2021,2,1,27,8
2021,3,1,43,7
2021,4,1,29,8
2021,3,1,23,11
2021,3,1,53,5
2021,7,1,36,11
2021,5,1,5,14
2021,3,1,59,7
2021,5,1,45,7
2021,5,1,2,15
2021,2,1,30,11
2021,3,1,36,5
2021,6,1,57,10
2021,4,1,55,6
2021,5,1,48,4
2021,4,1,58,3
2021,6,1,43,14
2021,2,1,7,4
2021,2,1,59,7
2021,3,1,5,6
2021,4,1,53,6
2021,2,1,58,4
2021,2,1,13,6
2021,4,1,43,2
2021,4,1,34,7
2021,4,1,30,3
2021,2,1,6,6
2021,5,1,53,8
2021,3,1,38,8
2021,3,1,49,4
2021,5,1,12,7
2021,3,1,3,6
2021,2,1,54,2
2021,3,1,46,5
2020,2,1,46,127
2019,7,1,27,447
2020,6,1,55,173
2020,6,1,19,231
2013,2,1,34,43
2014,1,1,27,186
2013,5,1,16,98
2014,6,1,48,82
2014,4,1,17,79
2013,2,1,27,37
2014,2,1,28,61
2013,2,1,47,38
2013,1,1,16,165
2013,7,1,42,128
2013,6,1,9,106
2013,6,1,24,95
2013,1,1,39,177
2013,7,1,25,132
2013,5,1,59,46
2013,7,1,5,152
2013,1,1,21,178
2013,7,1,56,128
2013,6,1,55,57
2014,1,1,43,177
2014,6,1,12,107
2014,7,1,2,211
2014,4,1,55,72
2013,6,1,34,88
2013,4,1,11,64
2013,1,1,25,167
2013,6,1,32,78
2013,1,1,18,172
2013,6,1,39,63
2013,2,1,23,55
2014,1,1,51,177
2013,6,1,44,63
2013,7,1,19,151
2013,1,1,6,197
2014,3,1,14,79
2014,2,1,8,63
2013,2,1,35,39
2013,6,1,47,84
2014,1,1,19,199
2014,5,1,4,105
2013,7,1,2,183
2014,7,1,30,175
2014,5,1,32,75
2014,1,1,15,216
2014,1,1,45,142
2013,4,1,10,77
2013,7,1,34,147
2014,1,1,30,190
2014,7,1,20,186
2013,5,1,19,91
2013,4,1,39,44
2013,6,1,42,84
2014,7,1,35,156
2013,6,1,30,77
2013,1,1,3,198
2014,3,1,53,57
2013,6,1,59,58
2013,6,1,17,89
2013,3,1,25,58
2013,5,1,36,63
2013,2,1,14,60
2013,6,1,40,82
2013,1,1,45,181
2013,4,1,18,58
2013,2,1,51,41
2014,2,1,43,58
2013,7,1,44,120
2014,5,1,38,55
2014,4,1,2,101
2013,4,1,45,55
2014,5,1,21,82
2013,4,1,19,67
2013,7,1,18,152
2014,1,1,21,203
2013,1,1,31,168
2014,1,1,57,136
2014,7,1,48,150
2013,7,1,28,145
2014,2,1,6,81
2013,7,1,15,155
2014,2,1,37,49
2013,3,1,20,42
2014,3,1,7,85
2013,5,1,45,65
2014,3,1,38,56
2013,4,1,23,63
2013,4,1,20,68
2013,1,1,2,213
2013,7,1,46,123
2014,3,1,45,51
2013,6,1,27,82
2013,1,1,24,168
2014,3,1,3,99
2013,2,1,21,43
2013,2,1,9,76
2016,1,1,13,337
2016,7,1,39,244
2014,6,1,15,123
2015,5,1,37,87
2015,6,1,35,97
2016,1,1,21,296
2015,3,1,42,49
2013,2,1,15,69
2016,1,1,53,234
2013,7,1,32,128
2013,2,1,33,49
2015,1,1,28,239
2013,1,1,22,178
2013,1,1,0,201
2015,5,1,46,80
2014,7,1,24,212
2017,5,1,43,104
2014,1,1,24,204
2015,1,1,44,176
2016,1,1,49,261
2013,2,1,4,79
2015,4,1,13,109
2014,3,1,48,62
2014,1,1,23,172
2015,3,1,33,86
2017,4,1,5,166
2015,7,1,31,194
2015,2,1,49,49
2015,1,1,31,230
2015,3,1,31,73
2015,1,1,1,282
2015,1,1,24,222
2015,3,1,55,50
2016,2,1,29,108
2015,3,1,12,96
2015,1,1,17,237
2015,5,1,45,80
2016,7,1,38,233
2015,4,1,46,77
2015,1,1,38,213
2016,7,1,52,226
2016,3,1,2,135
2015,1,1,51,200
2013,1,1,11,202
2015,7,1,41,168
2015,7,1,59,134
2013,5,1,31,57
2015,4,1,15,108
2015,7,1,52,169
2015,7,1,19,213
2016,6,1,32,153
2015,3,1,16,100
2015,7,1,33,217
2013,1,1,27,189
2016,5,1,53,90
2013,3,1,18,39
2014,7,1,59,151
2015,5,1,8,127
2015,1,1,14,211
2015,2,1,35,75
2015,1,1,35,200
2017,1,1,43,291
2015,5,1,42,92
2013,5,1,21,73
2015,2,1,30,65
2015,6,1,21,118
2016,4,1,26,107
2016,1,1,40,255
2015,5,1,25,84
2015,6,1,47,103
2015,7,1,28,216
2016,6,1,3,226
2015,7,1,8,230
2015,6,1,14,167
2015,6,1,39,119
2016,1,1,6,365
2015,6,1,30,117
2015,2,1,15,77
2015,1,1,47,205
2015,7,1,11,236
2015,7,1,15,235
2016,6,1,12,190
2015,1,1,0,290
2016,5,1,4,187
2016,6,1,50,146
2016,7,1,2,312
2016,1,1,1,319
2017,1,1,15,405
2015,3,1,58,48
2017,2,1,16,148
2015,5,1,57,77
2014,7,1,18,168
2016,5,1,30,113
2015,1,1,40,188
2015,5,1,22,107
2017,2,1,0,180
2017,7,1,58,221
2016,2,1,20,96
2017,5,1,3,183
2015,5,1,16,117
2016,5,1,46,101
2015,5,1,4,143
2015,1,1,54,185
2015,1,1,58,189
2016,4,1,16,114
2015,3,1,53,53
2015,2,1,51,57
2016,5,1,7,167
2015,3,1,35,73
2015,5,1,35,81
2016,1,1,14,310
2016,4,1,20,134
2016,7,1,21,272
2016,5,1,26,114
2016,1,1,26,302
2016,1,1,47,268
2017,4,1,2,168
2015,1,1,20,209
2016,1,1,15,276
2016,5,1,42,97
2016,7,1,1,324
2016,4,1,6,150
2016,6,1,20,169
2016,1,1,59,224
2017,7,1,48,270
2017,1,1,57,267
2014,1,1,37,172
2016,5,1,36,114
2015,7,1,53,181
2016,1,1,10,308
2016,1,1,4,357
2017,7,1,46,287
2017,6,1,47,138
2017,2,1,43,117
2016,6,1,26,159
2016,4,1,33,103
2016,7,1,4,311
2015,6,1,58,100
2017,4,1,8,153
2015,5,1,21,107
2015,6,1,42,135
2015,2,1,17,84
2017,7,1,54,285
2016,3,1,43,54
2017,7,1,29,270
2017,1,1,7,437
2017,4,1,13,188
2016,1,1,25,289
2016,3,1,9,105
2017,2,1,24,95
2017,2,1,48,101
2017,3,1,54,63
2016,2,1,58,72
2017,3,1,32,93
2016,3,1,11,97
2017,6,1,1,218
2017,6,1,13,210
2017,4,1,58,86
2016,6,1,16,157
2017,4,1,34,112
2016,7,1,46,219
2016,3,1,23,95
2016,1,1,29,287
2017,1,1,50,280
2017,4,1,12,158
2017,7,1,32,243
2017,5,1,40,121
2016,5,1,15,140
2016,1,1,0,361
2016,1,1,51,238
2016,5,1,22,140
2017,5,1,21,128
2016,6,1,25,156
2016,3,1,13,107
2017,4,1,21,137
2017,6,1,15,204
2016,6,1,55,116
2017,3,1,25,94
2017,2,1,36,112
2017,3,1,46,85
2016,4,1,51,88
2017,3,1,35,87
2016,7,1,32,234
2017,5,1,48,109
2017,1,1,59,289
2016,7,1,13,285
2017,1,1,20,390
2016,4,1,23,134
2016,7,1,34,225
2017,1,1,34,319
2017,2,1,7,155
2017,5,1,47,98
2017,1,1,19,425
2017,3,1,11,139
2017,1,1,39,316
2016,2,1,49,72
2017,4,1,38,112
2016,4,1,12,131
2017,7,1,45,262
2017,5,1,35,139
2017,6,1,27,181
2016,1,1,42,281
2017,1,1,22,383
2017,1,1,49,304
2017,6,1,57,113
2016,7,1,26,252
2017,1,1,44,267
2019,7,1,34,393
2021,1,1,38,16
2020,5,1,47,135
2020,3,1,15,194
2020,1,1,29,493
2020,4,1,7,241
2020,5,1,34,188
2020,2,1,17,168
2020,4,1,51,180
2018,2,1,48,114
2020,4,1,50,148
2018,7,1,45,296
2020,4,1,40,182
2020,4,1,33,184
2020,7,1,5,489
2018,7,1,36,325
2021,1,1,15,40
2021,1,1,33,15
2021,1,1,1,31
2021,1,1,39,18
2018,7,1,16,381
2018,5,1,28,150
2018,2,1,40,110
2020,7,1,23,498
2019,4,1,19,184
2020,1,1,35,433
2021,6,1,25,22
2020,6,1,49,163
2020,4,1,32,190
2019,1,1,25,459
2021,6,1,0,15
2019,7,1,18,422
2018,1,1,15,347
2020,4,1,44,157
2020,1,1,10,547
2019,3,1,20,154
2018,5,1,6,180
2019,5,1,16,232
2018,7,1,6,424
2019,1,1,1,598
2019,4,1,41,125
2021,2,1,25,8
2020,1,1,27,475
2020,3,1,21,171
2018,4,1,36,110
2021,1,1,54,19
2018,1,1,10,371
2020,2,1,5,211
2018,7,1,41,317
2019,1,1,27,491
2019,1,1,21,480
2021,4,1,3,8
2020,6,1,35,175
2018,7,1,47,313
2019,1,1,8,574
2020,7,1,58,309
2020,7,1,3,483
2019,2,1,38,116
2018,3,1,39,108
2019,1,1,11,561
2021,6,1,45,14
2018,7,1,12,413
2019,2,1,30,154
2019,7,1,4,540
2020,2,1,50,149
2019,2,1,40,154
2020,1,1,23,531
2019,4,1,52,127
2019,7,1,51,398
2020,5,1,39,167
2018,1,1,12,381
2020,2,1,53,172
2020,5,1,6,234
2019,1,1,2,593
2020,2,1,0,237
2020,1,1,41,416
2018,4,1,21,148
2019,3,1,6,181
2019,6,1,15,247
2018,7,1,13,400
2020,2,1,51,157
2020,7,1,33,456
2019,3,1,42,161
2019,3,1,5,209
2018,6,1,58,146
2019,4,1,29,166
2020,3,1,7,232
2019,7,1,30,435
2019,5,1,3,229
2018,3,1,50,84
2021,2,1,43,2
2020,3,1,57,117
2020,1,1,30,473
2018,6,1,42,173
2018,4,1,57,112
2018,5,1,11,175
2018,6,1,56,161
2021,1,1,46,19
2018,6,1,28,227
2018,3,1,2,168
2020,7,1,0,500
2018,1,1,18,395
2018,7,1,40,317
2019,1,1,57,350
2018,2,1,51,121
2019,1,1,40,448
2020,5,1,27,204
2020,6,1,44,189
2018,7,1,46,300
2020,7,1,47,394
2019,1,1,44,445
2020,7,1,14,467
2020,6,1,2,295
2019,1,1,4,544
2019,7,1,55,332
2020,2,1,29,162
2018,2,1,44,107
2019,6,1,32,239
2018,6,1,8,245
2018,4,1,13,172
2020,1,1,34,446
2020,3,1,0,235
2019,7,1,59,320
2020,5,1,32,191
2019,5,1,45,113
2019,6,1,30,222
2018,5,1,46,141
2020,7,1,54,349
2018,7,1,44,314
2019,3,1,22,161
2020,3,1,11,218
2020,3,1,19,167
2019,6,1,24,249
2018,4,1,37,138
2020,6,1,18,251
2019,1,1,17,491
2020,6,1,54,180
2020,1,1,28,475
2020,3,1,56,115
2020,6,1,41,174
2020,2,1,49,143
2020,4,1,8,240
2018,4,1,4,213
2020,4,1,38,156
2020,4,1,13,217
2019,6,1,21,239
2019,6,1,49,186
2018,6,1,2,287
2019,7,1,5,500
2020,4,1,43,161
2018,1,1,25,386
2020,5,1,46,151
2018,6,1,36,198
2020,5,1,9,274
2020,2,1,11,217
2020,5,1,7,270
2020,7,1,32,444
2020,2,1,4,244
2019,5,1,38,145
2020,1,1,16,516
2019,5,1,53,155
2019,3,1,1,201
2020,4,1,22,210
2020,6,1,8,296
2018,7,1,53,265
2018,6,1,18,209
2018,4,1,28,116
2018,6,1,59,120
2019,4,1,43,132
2020,6,1,0,302
2018,4,1,6,209
2020,7,1,21,503
2019,2,1,47,143
2020,4,1,47,156
2020,6,1,17,234
2019,5,1,14,210
2020,3,1,48,153
2020,1,1,37,456
2020,1,1,59,369
2019,3,1,27,145
2020,5,1,12,238
2019,1,1,7,538
2019,4,1,4,205
2020,2,1,3,222
2020,3,1,33,136
2020,2,1,13,204
2020,7,1,22,427
2019,7,1,25,403
2020,2,1,12,248
2020,3,1,58,126
2018,7,1,18,369
2018,2,1,28,134
2019,1,1,9,569
2020,5,1,2,232
2018,2,1,41,117
2020,6,1,45,201
2020,4,1,34,183
2018,1,1,28,339
2019,2,1,23,153
2019,6,1,23,212
2020,6,1,50,156
2020,1,1,25,476
2020,2,1,37,160
2018,6,1,54,146
2020,2,1,44,148
2019,3,1,0,197
2020,5,1,30,196
2019,2,1,25,167
2019,2,1,35,143
2019,7,1,15,453
2018,3,1,14,146
2020,3,1,54,131
2020,4,1,11,251
2019,2,1,45,117
2020,6,1,6,277
2020,2,1,23,202
2018,1,1,20,359
2019,2,1,19,151
2020,5,1,4,266
2019,7,1,53,372
2019,1,1,29,459
2020,2,1,28,202
2019,7,1,48,368
2018,3,1,47,117
2020,2,1,36,171
2019,3,1,34,152
2018,3,1,45,121
2019,6,1,46,164
2018,2,1,49,130
2018,7,1,28,312
2020,3,1,55,141
2016,2,1,1,134
2014,7,1,16,181
2015,2,1,6,109
2014,1,1,17,222
2014,5,1,34,59
2014,4,1,36,74
2015,2,1,16,77
2016,5,1,9,165
2015,3,1,43,57
2014,3,1,21,71
2015,3,1,0,107
2017,6,1,9,202
2015,5,1,29,101
2016,2,1,24,103
2015,1,1,12,249
2017,2,1,34,80
2015,3,1,20,92
2015,2,1,8,103
2015,3,1,4,131
2014,2,1,24,86
2015,6,1,55,88
2017,4,1,9,165
2014,6,1,25,113
2015,4,1,3,121
2014,5,1,33,72
2015,3,1,52,53
2015,6,1,18,137
2015,4,1,47,89
2014,7,1,29,201
2014,7,1,14,165
2016,6,1,42,122
2014,1,1,4,216
2015,5,1,1,157
2016,2,1,48,65
2021,4,1,12,8
2016,6,1,45,121
