year,day_of_week,hour_of_day,num_rides
2017,1,3,8230
2016,4,0,14107
2017,6,6,60149
2015,7,1,11953
2016,4,20,104009
2015,1,4,3574
2016,3,23,28704
2015,4,2,2628
2016,7,3,6514
2015,1,3,5591
2016,5,3,2255
2016,6,3,3279
2016,4,5,15992
2017,2,6,60150
2015,5,3,1858
2015,5,4,2329
2016,5,1,7632
2016,3,1,5350
2017,2,1,7092
2016,6,4,3448
2016,7,6,10308
2017,6,0,21593
2016,4,2,3209
2016,1,5,3213
2016,2,6,49057
2017,6,3,3009
2017,1,7,21933
2017,3,3,1954
2016,6,1,9648
2016,2,2,2948
2016,1,4,4521
2016,1,2,10963
2016,4,4,3212
2015,4,4,2321
2017,1,6,9640
2017,4,2,3816
2018,2,23,30773
2019,1,22,54100
2021,6,12,10714
2018,4,23,39875
2018,7,0,31927
2018,2,12,114616
2020,6,5,17057
2019,1,5,6046
2021,4,22,2687
2018,4,21,88151
2020,2,21,76317
2021,6,15,13704
2020,7,22,71845
2021,4,13,10287
2020,3,5,19400
2020,4,5,19899
2021,1,11,10679
2021,3,4,430
2020,4,1,11574
2020,1,4,6372
2020,7,2,15202
2021,1,6,1205
2020,2,1,10686
2020,6,3,4811
2020,4,4,5459
2018,1,7,23336
2021,4,12,9003
2018,5,23,43704
2018,4,13,124095
2018,4,10,109414
2019,6,6,74656
2021,6,16,14477
2019,4,5,28352
2020,7,6,21851
2021,2,12,9927
2019,2,6,75470
2021,2,15,12757
2019,3,5,27874
2018,3,19,189030
2018,5,5,20304
2020,2,3,4065
2021,2,22,2471
2021,7,9,7180
2020,1,1,28282
2020,3,6,67373
2021,2,8,9407
2021,6,8,10207
2021,6,17,14415
2021,2,17,13757
2021,6,19,8780
2021,6,22,2196
2019,1,2,17709
2018,3,5,23049
2021,6,6,4116
2021,7,19,7395
2021,7,22,3181
2021,6,13,11767
2021,7,18,9850
2021,2,23,1511
2018,6,2,6331
2021,7,7,2424
2021,7,0,1319
2021,3,13,8724
2021,5,21,3620
2018,2,2,4781
2021,1,16,12321
2021,2,6,3496
2021,6,23,1687
2021,5,9,9205
2018,7,2,12698
2019,1,1,27872
2019,1,7,28552
2020,6,2,7748
2021,2,1,445
2021,5,23,1623
2021,4,1,467
2021,3,23,1424
2018,7,5,5685
2021,2,0,750
2019,7,3,10418
2019,6,2,7964
2019,6,5,22565
2021,7,5,395
2019,3,2,5329
2018,5,2,4645
2021,4,2,302
2021,2,5,1114
2021,2,4,281
