year,day_of_week,hour_of_day,num_rides
2013,3,22,22398
2013,4,15,42508
2013,4,9,59133
2013,1,23,11728
2014,7,8,25463
2014,3,13,56974
2014,1,20,43873
2013,7,0,12733
2014,4,18,125030
2014,3,1,4091
2013,2,23,12351
2014,1,22,24891
2014,3,22,29448
2014,3,7,72620
2013,5,6,18924
2014,6,2,3337
2014,1,19,59305
2013,3,21,31101
2014,7,2,6792
2013,5,14,37270
2014,3,0,8600
2014,4,5,8170
2013,1,8,13780
2014,6,7,60743
2014,3,5,8400
2014,5,6,29075
2013,3,6,20724
2014,5,0,9539
2013,5,8,74181
2014,3,23,17976
2014,3,8,120902
2014,3,4,1933
2013,3,2,1561
2013,6,5,3955
2014,2,2,2184
2014,7,5,2223
2013,3,5,4830
2014,1,3,4806
2013,4,6,20237
2013,7,4,2294
2014,3,3,1225
2013,5,3,1191
2013,7,5,1660
2013,2,5,4225
2014,4,4,1921
2015,2,10,56200
2016,1,0,25243
2016,4,1,6614
2015,4,10,63953
2015,1,18,84450
2015,7,21,34067
2015,1,0,18738
2015,5,1,6051
2015,5,15,80364
2016,3,19,154557
2015,5,11,60372
2015,1,12,95177
2015,1,19,67486
2015,3,0,10017
2015,7,13,100736
2016,6,2,5520
2016,6,22,42643
2015,6,17,149561
2015,6,20,55598
2015,1,7,11054
2016,1,19,87077
2015,6,1,7583
2015,3,10,59127
2015,2,9,99572
2016,7,22,39808
2015,6,22,32244
2015,2,13,68122
2015,5,22,37293
2015,5,9,115525
2015,4,16,97820
2015,3,23,21280
2015,2,18,163981
2016,2,9,128295
2016,7,2,10022
2015,5,6,42590
2015,6,5,8643
2015,5,20,67807
2015,3,2,2338
2017,3,1,6477
2017,1,2,12948
2017,3,21,77889
2016,4,22,51087
2016,1,23,22433
2017,6,19,139163
2016,3,10,81287
2015,7,5,2725
2017,5,23,38796
2017,1,1,20955
2016,3,22,48617
2016,1,6,7043
2015,3,4,2047
2015,6,2,4033
2015,5,2,3212
2017,5,3,2412
2017,5,1,8218
2015,7,6,6536
2017,6,22,50047
2016,6,5,13226
2016,3,2,2909
2015,4,3,1689
2016,4,6,63533
2015,4,5,10441
2016,5,2,3937
2017,3,16,149671
2017,6,1,10409
2016,7,4,4177
2017,7,8,56520
2017,4,23,36860
2017,4,4,3549
2017,2,5,16050
2017,4,5,20536
2017,6,5,16491
2016,3,3,1700
2016,2,4,2792
2017,4,1,7517
2017,7,5,4399
2017,1,5,3987
2016,5,4,3091
2017,2,3,2190
2016,4,3,2068
2020,3,22,60633
2021,3,8,11804
2021,7,15,18803
2018,3,23,35932
2018,7,17,173350
2021,2,3,233
2018,5,6,73139
2020,5,6,59796
2018,5,1,9007
2021,1,15,14412
2019,3,6,88749
2021,4,14,10688
2021,5,3,242
2020,4,2,6796
2021,1,10,7675
2021,6,9,8853
2021,3,3,289
2021,5,6,4353
2020,3,2,5876
2021,3,2,326
2021,3,0,873
2021,3,5,1504
2021,6,11,8910
2021,5,2,323
2020,5,5,18071
2021,7,23,2537
2018,3,14,121773
2018,1,23,28518
2018,1,21,60920
2020,6,9,124006
2021,3,20,5438
2021,2,10,7036
2018,7,10,135970
2018,6,3,3726
2020,4,23,42607
2018,7,21,63266
2018,7,23,43363
2018,6,0,23013
2021,7,12,16683
2021,7,2,458
2021,7,21,3618
