dock_id,latitude,longitude,borough,zip_code,total_docks
521,40.750673249846471,-73.994651516850368,Manhattan,10001,67.0
224,40.71146364,-74.00552427,Manhattan,10038,31.0
419,40.69580705,-73.97355569,Brooklyn,11205,25.0
454,40.75455731,-73.96592976,Manhattan,10022,35.0
337,40.7037992,-74.00838676,Manhattan,10005,37.0
340,40.71269042,-73.98776323,Manhattan,10002,28.0
491,40.740963734529309,-73.986022129874357,Manhattan,10010,53.0
270,40.69308257,-73.97178913,Brooklyn,11238,27.0
3169,40.78720869,-73.98128127,Manhattan,10024,59.0
3177,40.7867947,-73.977112,Manhattan,10024,65.0
435,40.741739693441794,-73.994155562306091,Manhattan,10011,50.0
382,40.73492695,-73.99200509,Manhattan,10003,37.0
3142,40.761227399027987,-73.960940224529992,Manhattan,10065,59.0
488,40.75645824,-73.99372222,Manhattan,10018,44.0
358,40.732915535816105,-74.007113839389461,Manhattan,10014,50.0
3461,40.714851505262523,-74.011223316192627,Manhattan,10007,35.0
523,40.754665910720966,-73.991381521334688,Manhattan,10018,54.0
414,40.70281858,-73.98765762,Brooklyn,11201-1832,24.0
510,40.7606597,-73.98042047,Manhattan,10111,52.0
281,40.764397099157911,-73.973714650605089,Manhattan,10153,66.0
352,40.76340613,-73.97722479,Manhattan,10019,39.0
3176,40.77452835,-73.98753759,Manhattan,10023,43.0
485,40.750380078810494,-73.983389876838928,Manhattan,10016,41.0
3092,40.719009499779979,-73.958525160997254,Brooklyn,11249,27.0
3285,40.78839,-73.9747,Manhattan,10024,44.0
516,40.752068618918223,-73.967843842461846,Manhattan,10017-6927,31.0
519,40.75190584288908,-73.9777450915213,Manhattan,10016,69.0
323,40.692361777950644,-73.9863174582017,Brooklyn,11201,41.0
285,40.734545669145326,-73.990741421971308,Manhattan,10003,53.0
496,40.73726185933166,-73.992389669005448,Manhattan,10003,49.0
3302,40.7969347,-73.9643412291,Manhattan,10025,23.0
3293,40.7921,-73.9739,Manhattan,10023,24.0
3171,40.78524672,-73.97667321,Manhattan,10024,39.0
502,40.714214125405633,-73.981291119204258,Manhattan,10002,31.0
477,40.756405472462014,-73.990026194496181,Manhattan,10018,62.0
236,40.72841859886519,-73.987139556910691,Manhattan,10003,47.0
161,40.729170246654718,-73.998102309707534,Manhattan,10012,36.0
297,40.734231997515714,-73.986922990116327,Manhattan,10003,27.0
3236,40.758984809405931,-73.9937996920268,Manhattan,100036,33.0
167,40.748900600657187,-73.976048826288789,Manhattan,10016,45.0
3141,40.765005247246158,-73.958184912232909,Manhattan,10029-6408,59.0
2021,40.75929124,-73.98859651,Manhattan,10036,46.0
,40.742868773121117,-73.98918628692627,Manhattan,10001-7604,
,40.677592069373759,-73.955637216568,Brooklyn,11238,
2009,40.71117444,-73.99682619,Manhattan,10038,36.0
293,40.730243933084807,-73.990904318043377,Manhattan,10003,57.0
515,40.760094375680779,-73.994618432393509,Manhattan,10036,36.0
,40.814325615698685,-73.959025499406408,Manhattan,10115,
3168,40.78472675142752,-73.969617157224278,Manhattan,10024,31.0
2017,40.75022392,-73.97121414,Manhattan,10017,39.0
3085,40.71469,-73.95739,Brooklyn,11249,26.0
537,40.74025878,-73.98409214,Manhattan,10037,42.0
3148,40.775655412918155,-73.950686144189348,Manhattan,10028,31.0
3357,40.8008363,-73.9664492472,Manhattan,10025,35.0
,40.729667308144691,-73.98067965378614,Manhattan,10009,
465,40.75513557,-73.98658032,Manhattan,10036,40.0
3134,40.76312584,-73.96526895,Manhattan,10065,51.0
530,40.771512987115379,-73.990512264078177,Manhattan,10019,36.0
3421,40.6843549,-73.98901629,Brooklyn,11217,23.0
229,40.72743423,-73.99379025,Manhattan,10012,27.0
2012,40.739445,-73.976806,Manhattan,10016,36.0
349,40.71850211,-73.98329859,Manhattan,10002,61.0
,40.78476,-73.969862,Manhattan,10024,
,40.745686,-74.005141,Manhattan,10011,
3140,40.771404248005979,-73.953516595587615,Manhattan,10021,55.0
,40.675832438558842,-73.956167694461854,Brooklyn,11238,
3289,40.790179493759808,-73.972889202292549,Manhattan,10024,35.0
276,40.71748752,-74.0104554,Manhattan,10007,26.0
427,40.70196458280229,-74.013973072901749,Manhattan,10004,48.0
,40.7671863,-73.9373554,Queens,11106,
302,40.72082834,-73.97793172,Manhattan,10009,24.0
3173,40.777507036906954,-73.988885880231976,Manhattan,10069,63.0
3233,40.757245685183783,-73.978059134309973,Manhattan,10017,39.0
,40.712460167493795,-73.9187303939206,Queens,11385,
3377,40.6786115,-73.99037292,Brooklyn,11231,26.0
3002,40.711512,-74.015756,Manhattan,10005,30.0
447,40.76370739172836,-73.985161504952771,Manhattan,10019,34.0
458,40.75139600163179,-74.005225996687756,Manhattan,10001,34.0
,40.761584,-73.925921,Queens,11106,
157,40.69089272,-73.99612349,Brooklyn,11231,23.0
3067,40.7016657,-73.9437303,Brooklyn,11207,27.0
3170,40.78499979,-73.97283406,Manhattan,10024,37.0
3428,40.740983,-74.001702,Manhattan,10017,25.0
3383,40.804213,-73.96699104,Manhattan,10025-4403,25.0
,40.756951,-73.982631,Manhattan,10019,
150,40.720873611063837,-73.98085794157295,Manhattan,10002-1013,54.0
258,40.68940747,-73.96885458,Brooklyn,11221,24.0
267,40.750977114649338,-73.9876542861167,Manhattan,10001,57.0
,40.738046142482766,-73.996429592370987,Manhattan,10011,
3121,40.74524768,-73.94733276,Queens,11101,27.0
522,40.75714758,-73.97207836,Manhattan,10022,52.0
2006,40.765909366532163,-73.976341513943865,Manhattan,10019,50.0
,40.7552433,-73.9485678,Queens,11101,
