occurance,start_station_id,start_lat,start_lon
11520,3543.0,40.810285063060029,-73.957364559173584
12800,3522.0,40.7701477,-73.9120938
54016,365.0,40.68223166,-73.9614583
1,3633.0,0.0,0.0
1,3385.0,40.7898175,-73.94296109
3585,3835.0,40.69385,-73.90974
37889,3434.0,40.790254173304191,-73.977183401584611
309505,2021.0,40.75929124,-73.98859651
2,3248.0,0.0,0.0
2,3446.0,0.0,0.0
2,3000.0,40.755467,-73.986536
2818,4056.0,40.839137,-73.941409
3074,4225.0,40.696232971293163,-73.991420567035675
3842,3704.0,40.7437524099784,-73.941764831542969
233730,433.0,40.72955361,-73.98057249
104962,3086.0,40.716,-73.944
104962,3086.0,40.715143,-73.944507
50178,3584.0,40.6707767,-73.9576801
50178,3584.0,40.671,-73.959
64770,3712.0,40.754691750226016,-73.997401893138885
3,4269.0,40.754164,-73.908906
3,4327.0,40.782465,-73.914527
3,3912.0,40.7903,-73.9597
3,3672.0,40.669767091850026,-73.994743824005127
264451,3137.0,40.773,-73.968
264451,3137.0,40.77282817,-73.96685276
73731,418.0,40.70224,-73.982578
8963,3946.0,40.818477,-73.947568
4,4275.0,40.783956,-73.916894
1028,4103.0,40.834457,-73.928381
1796,4109.0,40.84925,-73.93022
4868,4017.0,40.81449,-73.936153
10244,4123.0,40.796036841599843,-73.961589038535749
211460,455.0,40.75001986,-73.96905301
17412,3316.0,40.7989937,-73.9662173778
25604,4045.0,40.77237,-73.99005
36612,3881.0,40.818299,-73.960405
176900,3147.0,40.779,-73.953
176900,3147.0,40.77801203,-73.95407149
5,4267.0,40.762507,-73.902534
5,4271.0,40.757525,-73.901614
261,4157.0,40.833246,-73.896599
1029,4021.0,40.813224,-73.930605
3077,4061.0,40.84522,-73.940493
5637,4232.0,40.756951,-73.982631
204037,319.0,40.711066,-74.009447
204037,319.0,40.71336124,-74.00937622
204037,319.0,40.71,-74.01
8197,3620.0,40.7519071,-73.9479119
140293,467.0,40.68312489,-73.97895137
47109,395.0,40.68807003,-73.98410637
119557,341.0,40.71782143,-73.97628939
6,4321.0,40.780478,-73.912212
14598,3582.0,40.6721683,-73.9609
22278,3527.0,40.80698,-73.941747
304134,383.0,40.735238,-74.000271
7,4386.0,40.646377,-74.023087
7,3266.0,40.70861098096821,-73.92850399017334
1799,4015.0,40.82923,-73.936996
3079,3921.0,40.805701,-73.925177
6919,3827.0,40.686,-73.917
6919,3827.0,40.68565,-73.91564
8967,3778.0,40.7027,-73.92095
43271,3311.0,40.68763155,-74.0016256
43271,3311.0,40.689,-74.001
45575,436.0,40.68216564,-73.95399026
243975,355.0,40.71602118,-73.99974372
114183,3360.0,40.7829391,-73.9786517
114183,3360.0,40.782,-73.98
